numPhotons,numUp,numDown,
50026,3288,3074,
49827,3232,3106,
49488,3231,2958,
48141,3029,3043,
50024,3118,3111,
50093,3092,3217,
41962,2503,2663,
49906,3239,3080,
49887,3090,3068,
49735,3176,3059,
50131,2976,3380,
49676,2983,3071,
49827,3192,3107,
49622,3196,3111,
49774,2955,3157,
50131,3355,2971,
48928,2997,3120,
49967,3073,3366,
49629,3276,2889,
49931,3080,3138,
48907,3129,2975,
49581,3231,3041,
49699,3071,3147,
49727,3015,3249,
49643,3300,2916,
49809,3105,3292,
49516,3091,3224,
50105,2854,3399,
49916,3082,3094,
49789,3192,3042,
49741,3084,3129,
49679,3051,3125,
17552,1073,1080,
49982,3080,3132,
50142,3233,3051,
49756,3065,3148,
49859,3002,3340,
49984,3116,3240,
50116,3146,3233,
49651,3263,3060,
48968,3201,2935,
49652,3145,3045,
50062,3005,3335,
50077,3419,3052,
49720,3113,3183,
48954,3141,2923,
49827,3069,3271,
49911,3131,3261,
49673,3051,3240,
50136,3188,3160,
50054,3161,3052,
50006,3286,2921,
49093,2888,3204,
49544,3213,3005,
49786,3068,3171,
50177,3342,3074,
50130,3155,3144,
50123,3326,2878,
49543,3097,3041,
49590,3147,3121,
49956,3303,2936,
49392,2996,3186,
49658,3307,2970,
49862,3125,3187,
49516,3068,3204,
50077,3300,2894,
49921,3072,3147,
50091,3075,3157,
49872,3245,3082,
48952,3436,2856,
49963,3138,3192,
50090,2983,3340,
50152,3087,3191,
50073,3102,3162,
49685,3020,3304,
49964,3040,3074,
49513,3001,3152,
49887,3211,3129,
50039,3178,3185,
50010,3255,3106,
50242,3190,3228,
49858,3136,3071,
49999,3283,3068,
50158,3083,3196,
49956,3096,3249,
49890,3341,2929,
48926,2993,3051,
50023,2959,3369,
50094,3196,3175,
48503,3144,2929,
50088,3346,2969,
49420,3256,3048,
49649,3261,2991,
49700,3233,2923,
50061,3102,3236,
50062,3026,3273,
49200,3047,3045,
49257,3243,3022,
49537,2985,3161,
50084,3159,3092,
49989,3085,3225,
49039,3030,2954,
50107,3385,2919,
50172,3264,2992,
50115,3018,3229,
49659,3126,3022,
49394,3096,3038,
49914,3009,3129,
49989,2994,3171,
49773,3087,3080,
48781,3006,3132,
50021,3047,3254,
49240,3057,3186,
49517,3238,2964,
49879,3201,3111,
49923,3132,3133,
49503,3050,3206,
49908,3044,3195,
49027,3079,3132,
50029,3196,3114,
50160,3384,2953,
49553,3022,3286,
50021,3153,3105,
50185,2907,3416,
49311,2984,3085,
49568,3155,3018,
50129,3241,2974,
49895,3322,2995,
50155,3087,3140,
50104,3380,2959,
49768,2973,3222,
50016,3078,3095,
49500,3128,3188,
49717,3117,3288,
49914,3245,3003,
49714,3224,3043,
41457,2679,2361,
49482,3013,3239,
50020,2956,3384,
49660,2962,3140,
48962,2975,3077,
50000,3100,3198,
49919,3019,3273,
49651,3294,2959,
49940,3309,2958,
49800,3255,2989,
50084,3153,3191,
49957,3209,3038,
50038,3125,3024,
49141,2971,3329,
49588,3269,2972,
50218,3372,2973,
49631,3059,3188,
50031,3134,3052,
49857,3111,3041,
50009,3110,3213,
50174,3028,3382,
49804,3220,3063,
49293,3162,3201,
49879,3212,3007,
49861,3299,3002,
44332,2659,2741,
49492,2961,3189,
49913,3161,3069,
49585,3008,3238,
49757,3154,3214,
49880,3124,3057,
49624,3181,3071,
49774,3048,3286,
49303,3293,3090,
50120,3195,3037,
50128,3064,3262,
50073,3100,3313,
50046,3049,3144,
49792,2894,3291,
49956,2988,3432,
50143,3339,3029,
49194,2970,2894,
49719,2966,3257,
49613,3042,3309,
49705,2970,3236,
50182,3373,2892,
49938,3200,3133,
50082,2925,3346,
49130,3284,2923,
49933,3143,3151,
49727,3179,3209,
49385,3143,3143,
50014,3275,2958,
49934,3176,3016,
50026,3246,2986,
49989,3137,3231,
49645,3028,3247,
50115,2960,3302,
49770,3385,2867,
50196,2992,3295,
49228,2952,3331,
49962,2939,3211,
49740,3268,2971,
50137,2982,3187,
49067,3171,2972,
47695,3025,2871,
39510,2531,2487,
49645,3048,3196,
35502,2294,2191,
49984,2993,3208,
50082,3294,3050,
50086,2991,3324,
50038,3076,3209,
49348,2961,3161,
49946,3047,3142,
50101,3142,3243,
49645,3222,3147,
49608,3154,3118,
49839,2960,3276,
49206,2969,3124,
49543,3202,2921,
49357,2916,3126,
49855,3368,2990,
50117,3145,3295,
50024,3123,3254,
49956,3301,2994,
49308,2974,3221,
49937,3270,3063,
49514,3053,3105,
50052,3148,3257,
49799,2963,3183,
50062,3398,2875,
49664,3070,3135,
48983,2606,3308,
49442,3006,3128,
49357,3265,3020,
50187,2938,3344,
49173,3226,2966,
50007,3027,3308,
50032,3254,3052,
49790,3132,3122,
49685,3192,3036,
49868,3079,3176,
49665,2998,3184,
50106,3170,3290,
49868,3062,3181,
49821,3142,3125,
49616,3148,3125,
49743,3124,3138,
49508,3209,2995,
50157,3115,3156,
49615,3334,2986,
50032,3174,3092,
50037,3100,3193,
49763,2984,3306,
50147,3098,3172,
50015,2971,3325,
49851,3222,3120,
49101,2979,3070,
49440,3064,3104,
49761,3147,3130,
49927,3372,2996,
50002,3102,3051,
50018,3174,3068,
50125,3224,3035,
45161,2754,2900,
50057,3294,3064,
50022,2975,3289,
49652,3052,3119,
50113,3132,3139,
50193,3242,3023,
49583,3276,2935,
49670,2970,3235,
50186,3219,3065,
49711,3100,3171,
49522,3214,2988,
50095,3215,3123,
49442,3027,3089,
50149,3146,3242,
49686,3129,3070,
49726,3090,3152,
49848,3147,3167,
50151,3344,3007,
50027,3120,3254,
49634,3050,3039,
50062,3318,2993,
49565,3216,3036,
49265,3117,2999,
49840,3075,3148,
50081,3131,3053,
50162,2907,3455,
49887,3053,3360,
49671,3151,3025,
49806,3282,3079,
49977,3133,3105,
49522,3372,2953,
49793,3219,3057,
49999,3236,2951,
43582,2711,2752,
49087,2924,3144,
50050,3183,3220,
49781,3331,2924,
49173,3091,3140,
49108,3221,2934,
49939,3143,3095,
49594,3159,3151,
49133,3154,3001,
49952,3055,3179,
49969,3506,3063,
49272,3169,3057,
50127,3249,2988,
49813,3126,3115,
49699,3258,3019,
49864,3103,3091,
50045,3165,3167,
49835,2917,3290,
50199,3328,2972,
49806,3050,3310,
49973,3205,3191,
49961,3070,3250,
49990,3187,3070,
50049,3345,2909,
49939,3233,3076,
50034,3206,2976,
49775,3212,2965,
49526,3171,2974,
49998,3199,3104,
49247,2912,3215,
50076,3107,3221,
49974,3164,3035,
50088,3040,3159,
49999,3102,3139,
50260,3284,3114,
49123,3051,3074,
49687,2926,3300,
50082,3146,3194,
48377,3003,3058,
50003,3152,3043,
48871,3075,3166,
49968,3178,3314,
49689,3228,3095,
49985,2938,3379,
49450,3207,3001,
49794,2785,3387,
49090,2976,3168,
50101,3073,3213,
49197,3223,3073,
49569,2977,3258,
49651,3304,3073,
49473,3084,3102,
49451,3134,3159,
49766,3005,3189,
49714,3200,3022,
49983,2919,3337,
49437,3220,2964,
49667,3012,3193,
50139,3268,3156,
49856,3041,3206,
50030,2920,3294,
49491,3175,3020,
49616,2938,3239,
49572,3229,2948,
49687,3214,3054,
50111,3102,3264,
50122,3234,3055,
48696,2834,3413,
49583,3211,2987,
49429,2902,3304,
49964,3173,3101,
49802,3328,2956,
49984,3261,3063,
49870,3250,2989,
49457,3302,3001,
19581,1183,1283,
49845,3196,3080,
49656,3036,3256,
49254,3080,3111,
49042,3208,3070,
49928,3074,3174,
50043,3125,3187,
49955,3347,2961,
50007,3059,3083,
49751,3047,3294,
49656,3022,3240,
49975,3125,3214,
49645,3174,3119,
49983,3112,3187,
49966,3124,3171,
49490,3039,3089,
49660,3148,3129,
50025,2945,3364,
49949,3211,3120,
49867,2963,3268,
49955,3260,2934,
49925,3087,3135,
50013,3308,2961,
50123,3191,3163,
49508,3174,3096,
50229,3024,3314,
50010,3344,2917,
50193,3045,3211,
49950,3020,3273,
49503,3192,3037,
49735,3173,3166,
49868,3236,3002,
50039,3216,3032,
49874,3277,2994,
41074,2470,2645,
49692,3189,3171,
49839,3041,3206,
50151,3040,3308,
49856,3248,2939,
49732,3049,3159,
49954,3156,3116,
50150,3272,2976,
