energy,time,theta,phi,xpos,ypos,zpos,
9.69259,1635.31,2.30955,2.96919,5.21348e-05,-3.5952e-06,3.9023e-06,
9.69269,426.822,1.82257,3.05888,0.00170347,-0.000117471,0.000127505,
9.69187,2153.99,1.34921,2.35273,0.00259533,-0.000178973,0.00019426,
9.69185,1085.26,1.43713,3.08124,0.0011062,-7.62832e-05,8.27992e-05,
9.69251,3992.52,1.69391,1.17063,0.00232943,-0.000160637,0.000174358,
9.6914,377.244,0.276004,2.02726,0.000341551,-2.35533e-05,2.55651e-05,
9.6922,1402.35,2.16444,2.17234,0.000503849,-3.47452e-05,3.77131e-05,
9.69288,1234.26,2.03779,3.01717,0.00284457,-0.000196161,0.000212917,
9.6916,107.617,1.72152,3.04543,0.00160869,-0.000110935,0.000120411,
9.69259,1707.77,1.41348,1.81088,0.000603076,-4.15879e-05,4.51403e-05,
9.69123,408.838,1.13415,0.683611,0.00208467,-0.000143758,0.000156038,
9.69192,804.98,1.77928,0.149583,0.00202396,-0.000139571,0.000151493,
9.6928,693.495,0.903318,2.59464,0.00233576,-0.000161073,0.000174832,
9.69244,619.515,2.22215,1.21885,0.000864649,-5.96259e-05,6.4719e-05,
9.6925,373.653,2.83116,1.51994,0.00127915,-8.82096e-05,9.57443e-05,
9.69259,872.176,2.36735,2.86215,0.00128356,-8.85138e-05,9.60745e-05,
9.69256,1973.38,0.57431,1.58636,0.00130683,-9.01188e-05,9.78166e-05,
9.69266,611.336,1.48973,0.517068,0.00136972,-9.44557e-05,0.000102524,
9.69177,1577.69,2.73205,1.79177,0.000146564,-1.0107e-05,1.09703e-05,
9.69172,1414.08,1.47607,0.136175,0.00273236,-0.000188423,0.000204517,
9.69111,1892.42,1.98593,1.90366,0.00229257,-0.000158095,0.000171599,
9.69273,1412.52,2.59824,0.494714,0.00280751,-0.000193605,0.000210142,
9.69173,3980.12,1.67885,1.027,0.0019969,-0.000137706,0.000149468,
9.6921,2309.52,2.70905,1.98552,0.0014054,-9.69159e-05,0.000105194,
9.69176,9.91241,2.48966,0.943812,0.000423388,-2.91967e-05,3.16906e-05,
9.69205,157.505,1.93359,0.210632,0.00238891,-0.000164739,0.00017881,
9.69199,396.898,1.39818,0.411279,0.00274057,-0.000188989,0.000205132,
9.69201,320.076,0.435004,0.0395756,0.00285878,-0.000197141,0.00021398,
9.69205,469.261,1.5668,0.708954,0.00235523,-0.000162416,0.000176289,
9.69291,161.455,1.8038,1.9045,0.00282766,-0.000194994,0.00021165,
9.69297,4121.28,2.69809,0.189149,0.000798812,-5.50858e-05,5.97911e-05,
9.69194,2887.87,0.946351,2.75964,0.00176531,-0.000121735,0.000132134,
9.6911,281.552,1.97374,1.12259,0.00240092,-0.000165566,0.000179709,
9.69293,2389.83,2.37468,1.84459,0.00231791,-0.000159842,0.000173496,
9.69123,932.019,1.16052,1.33826,0.0027879,-0.000192253,0.000208675,
9.69154,489.936,0.734935,2.01073,0.000812372,-5.60209e-05,6.08061e-05,
9.69296,2302.21,1.38049,2.45878,0.00239316,-0.000165031,0.000179128,
9.69224,2668.38,0.622862,0.913502,0.00246641,-0.000170083,0.000184611,
9.69194,5120.5,2.15204,0.0641458,0.00299987,-0.00020687,0.000224541,
9.6918,522.641,0.548308,2.69629,0.0022627,-0.000156035,0.000169364,
9.69195,1466.31,1.43252,3.05418,0.00047701,-3.28945e-05,3.57043e-05,
9.69117,2067.71,1.21857,0.305186,0.0024234,-0.000167117,0.000181391,
9.69124,815.183,1.41584,1.2006,0.00115701,-7.9787e-05,8.66023e-05,
9.69171,1627.53,1.86234,1.98412,0.00250913,-0.000173029,0.000187808,
9.69198,1992.53,2.04405,1.04441,0.00105908,-7.30335e-05,7.9272e-05,
9.69148,1442.44,1.10584,0.462074,0.00196424,-0.000135453,0.000147023,
9.692,420.381,1.1466,0.807043,0.00262866,-0.000181271,0.000196755,
9.69267,2006.46,1.19127,2.26663,0.00133067,-9.17624e-05,9.96006e-05,
9.69239,423.261,0.482138,0.932716,0.000150974,-1.04111e-05,1.13004e-05,
9.69104,4849.8,1.24835,2.5384,0.00159918,-0.000110279,0.000119699,
