distanceDiff,timeDiff,
9.23277,4.57177,
2.48698,1.23995,
23.6409,11.8399,
14.8529,7.6961,
9.88236,4.52776,
14.0426,6.56296,
6.72782,3.2661,
18.5466,9.00378,
34.7936,15.9413,
29.9548,14.1336,
6.88433,3.25705,
22.0173,10.4626,
3.17378,1.45412,
1.92394,0.885823,
12.6123,5.77852,
5.12226,2.34788,
7.94106,3.6494,
6.72523,3.24565,
10.857,5.32171,
10.8192,5.54382,
3.53951,1.62168,
28.4098,13.0887,
1.59841,0.737581,
40.1906,18.6184,
19.9438,9.28136,
13.8193,6.72337,
5.80623,2.93563,
9.16323,4.73119,
1.7586,0.910266,
16.8952,7.74081,
18.7707,8.6922,
15.6067,7.25927,
13.0855,6.29817,
20.5287,9.93767,
1.49809,0.762312,
1.31193,0.601082,
2.02321,0.96622,
20.3607,9.32861,
12.4195,5.69022,
25.2535,11.8521,
21.904,10.3575,
3.89373,1.78397,
1.67592,0.767848,
5.83102,2.70598,
22.3249,10.2285,
2.99575,1.37255,
3.09208,1.48863,
3.47035,1.59,
14.5835,6.68165,
2.88103,1.31999,
12.7604,5.85786,
0.59431,0.273471,
8.22841,3.78942,
28.5644,13.1724,
24.607,11.4996,
0.00202532,0.000946759,
3.3011,1.5456,
2.17849,1.02826,
4.95768,2.34024,
12.2127,5.90818,
2.59578,1.30569,
37.4993,19.1705,
5.71227,2.96385,
13.9439,7.59027,
14.4446,8.24126,
3.67112,2.13841,
3.40622,2.04141,
5.61296,3.41482,
15.3556,9.40145,
21.2768,13.0975,
7.1937,4.47064,
4.1658,2.69232,
18.7689,12.5367,
10.2197,6.83955,
2.95272,2.07068,
38.1776,28.0724,
5.97186,4.46698,
19.5399,14.6896,
2.27935,1.72143,
5.1544,2.36157,
1.03786,0.476061,
12.7775,5.85424,
1.8549,0.849852,
3.37928,1.54951,
7.75167,3.71686,
0.699616,0.32054,
6.61339,3.03194,
7.7605,3.73092,
0.556673,0.255049,
15.7596,7.27778,
31.3952,15.2109,
4.7536,2.17794,
4.45369,2.04865,
4.24033,1.94277,
24.5577,11.2515,
22.0463,10.3615,
8.83245,4.04673,
8.51117,3.92717,
4.8514,2.2451,
11.4892,5.34835,
3.75572,1.75795,
32.3487,14.8211,
6.99618,3.22925,
2.34996,1.08584,
2.8872,1.40025,
5.34472,2.60215,
2.2586,1.14124,
8.24924,3.77953,
5.65163,2.72023,
2.12752,1.02405,
20.9718,9.60857,
8.43255,3.86789,
40.3986,19.061,
12.4137,5.86373,
0.309885,0.141979,
0.387783,0.185896,
