eventID,numPhotons,numUp,numDown,coincidenceTime,numElasticSensitive,scatteredInelastically,scatteredNotSensitive,nucleusRecoilEnergy,timeOfFlight,detector,
255115,432,25,27,0,1,0,0,0,77.8081,A3,
256798,959,71,62,0,1,0,0,0,81.3164,A5,
258363,594,45,36,0,1,0,0,0,79.3312,A4,
258484,1083,64,87,0,1,0,0,0,83.376,A7,
260512,323,20,19,0,1,0,0,0,91.1068,A2,
260724,372,21,32,0,1,0,0,0,77.7306,A3,
262602,411,32,43,0,1,0,0,0,77.1939,A3,
264535,626,43,52,0,1,0,0,0,78.5736,A4,
264714,409,23,19,0,1,0,0,0,78.998,A3,
264932,823,51,66,0,2,0,0,0,78.6112,A5,
265376,369,23,30,0,1,0,0,0,78.8031,A3,
265506,614,43,36,0,1,0,0,0,78.5741,A4,
267246,723,47,64,0,1,0,0,0,79.2396,A5,
268080,338,24,29,0,1,0,0,0,90.9305,A2,
268851,151,12,8,0,1,0,0,0,152.425,A0,
269765,1023,68,70,0,1,0,0,0,79.9736,A6,
269886,1858,102,142,0,4,0,0,0,92.2181,A2,
270396,342,27,22,0,2,0,0,0,76.6048,A3,
270854,368,11,27,0,1,0,0,0,78.4673,A3,
271517,174,11,11,0,1,0,0,0,153.252,A0,
273872,537,29,27,0,1,0,0,0,79.4367,A4,
276598,1741,92,131,0,2,0,0,0,82.4401,A6,
280576,204,13,17,0,1,0,0,0,150.176,A0,
280581,528,28,44,0,1,0,0,0,78.2912,A4,
281754,489,28,30,0,1,0,0,0,90.5357,A2,
284304,389,16,32,0,1,0,0,0,89.1338,A2,
284821,394,28,32,0,1,0,0,0,76.3325,A3,
285104,171,6,15,0,1,0,0,0,152.459,A0,
286680,1068,66,83,0,1,0,0,0,81.9749,A7,
286853,165,6,19,0,1,0,0,0,79.3548,A3,
286930,341,22,13,0,1,0,0,0,89.7412,A2,
287106,179,9,20,0,1,0,0,0,152.426,A0,
289005,375,22,30,0,1,0,0,0,89.7742,A2,
290790,817,47,67,0,1,0,0,0,79.3988,A5,
291095,408,17,33,0,1,0,0,0,79.8521,A3,
293288,780,39,52,0,1,0,0,0,80.3255,A5,
293951,181,16,18,0,1,0,0,0,150.732,A0,
294480,975,65,70,0,1,0,0,0,82.1738,A6,
295639,757,38,63,0,2,0,0,0,77.8565,A5,
297886,1058,57,76,0,2,0,0,0,79.1976,A3,
298197,414,34,34,0,1,0,0,0,77.7288,A3,
298762,789,49,47,0,1,0,0,0,80.4987,A5,
299377,1346,90,81,0,2,0,0,0,82.729,A6,
299425,593,31,44,0,1,0,0,0,78.8318,A4,
300575,416,20,24,0,1,0,0,0,78.1595,A3,
301825,611,31,53,0,1,0,0,0,79.9624,A4,
303192,746,38,71,0,2,0,0,0,91.3951,A2,
303588,372,19,32,0,1,0,0,0,76.687,A3,
303728,1002,62,63,0,1,0,0,0,79.9616,A6,
306945,590,28,52,0,1,0,0,0,77.0831,A4,
308685,327,19,31,0,1,0,0,0,93.1294,A2,
310561,430,31,32,0,1,0,0,0,79.2416,A3,
310907,608,33,44,0,1,0,0,0,78.7668,A4,
311079,160,12,12,0,1,0,0,0,80.7732,A5,
311729,995,63,81,0,1,0,0,0,81.2459,A6,
312322,749,35,46,0,1,0,0,0,79.869,A5,
314139,966,48,77,0,1,0,0,0,82.0501,A6,
314400,1023,51,64,0,1,0,0,0,82.2138,A7,
315878,779,44,60,0,1,0,0,0,78.7417,A5,
317860,329,18,17,0,1,0,0,0,150.877,A1,
320536,267,8,23,0,1,0,0,0,91.3941,A2,
320610,359,24,24,0,1,0,0,0,92.8921,A2,
320968,1140,53,72,0,2,0,0,0,79.9718,A7,
321105,1132,62,90,0,1,0,0,0,80.7121,A7,
321292,1100,46,81,0,1,0,0,0,80.0722,A7,
322648,768,45,55,0,1,0,0,0,82.7715,A7,
322973,604,29,47,0,2,0,0,0,77.6544,A4,
323402,366,27,20,0,1,0,0,0,80.7806,A5,
324204,1093,65,73,0,1,0,0,0,82.9869,A7,
324980,55,4,4,0,1,0,0,0,78.3695,A3,
326085,1490,89,111,0,2,0,0,0,79.8777,A6,
326104,911,47,45,0,2,0,0,0,81.8072,A4,
327963,199,10,11,0,1,0,0,0,147.442,A0,
330112,779,45,44,0,1,0,0,0,80.0303,A5,
331515,362,22,29,0,1,0,0,0,78.2805,A3,
331943,176,15,10,0,1,0,0,0,150.524,A0,
334477,1041,58,68,0,2,0,0,0,79.1091,A4,
335066,584,32,39,0,1,0,0,0,79.603,A4,
335671,363,24,23,0,1,0,0,0,77.458,A3,
336872,625,34,47,0,1,0,0,0,80.2854,A4,
