eventID,energy,neutronAngle,timeOfFlight,external,numElastic,
331527,0,0,168.411,0,0,
331589,0,0,143.011,1,0,
331907,162.146,1.93444,157.209,0,1,
332999,0,0,139.965,1,0,
333323,14.3738,0.487549,43.4769,0,1,
334745,13.4657,0.47155,50.0262,0,1,
335852,0,0,139.375,1,0,
336869,0,0,136.516,1,0,
338029,12.5033,0.454034,49.2205,0,1,
338913,10.8412,0.422217,46.9124,0,1,
339102,7.16647,0.342279,46.0058,1,1,
339380,0,0,141.017,1,0,
341578,0,0,136.617,1,0,
341977,2.11099,0.18531,45.038,1,1,
342137,0,0,137.251,1,0,
342614,18.1854,0.5501,48.4958,1,1,
342645,9.31885,0.390976,44.7591,1,1,
342833,10.6614,0.418642,45.3519,0,1,
343865,0,0,138.26,1,0,
345370,10.0844,0.406967,46.9029,0,1,
346029,0,0,138.347,1,0,
346127,0,0,137.49,1,0,
346323,9.99744,0.405181,52.2578,0,1,
347520,12.4788,0.453581,42.6997,0,1,
349459,8.82303,0.380283,44.3749,0,1,
349472,0,0,136.155,1,0,
349909,451.356,2.91477,52.6716,0,3,
353686,12.2762,0.44981,43.077,0,1,
354007,0,0,138.393,1,0,
355002,9.1813,0.388038,47.0574,0,1,
355913,0,0,136.532,1,0,
356239,18.4138,0.553648,46.8688,1,1,
358261,9.86101,0.402363,43.4895,0,1,
358309,0,0,139.94,1,0,
360094,0,0,139.541,1,0,
360949,14.547,0.490546,44.0636,0,1,
361843,9.48957,0.394595,44.3841,0,1,
362993,2.64069,0.207348,43.5273,1,1,
363368,36.4725,0.521529,43.2838,0,2,
367656,9.33319,0.391282,44.8303,0,1,
368663,10.2301,0.409944,43.4684,0,1,
369629,0,0,135.989,1,0,
370637,11.9328,0.443352,49.0628,0,1,
370753,10.8529,0.422449,45.0419,0,1,
370788,0,0,137.748,1,0,
370965,0,0,136.707,1,0,
372858,13.0388,0.463856,42.6073,0,1,
373930,11.4992,0.435071,44.7631,0,1,
374659,14.3266,0.486729,45.2166,0,1,
377006,0,0,138.323,1,0,
377170,11.3605,0.432391,43.1682,0,1,
377201,0,0,150.716,1,0,
378502,9.21375,0.388733,53.3856,0,1,
379140,0,0,137.654,1,0,
380559,0,0,138.066,1,0,
381850,0,0,137.062,1,0,
382187,10.8644,0.422678,46.8549,0,1,
382651,11.9899,0.444432,50.2658,0,1,
383792,0,0,143.314,1,0,
385267,0,0,139.405,1,0,
385938,0,0,141.13,1,0,
386167,0,0,137.248,1,0,
387073,8.94724,0.382988,43.9105,0,1,
387674,9.12992,0.386935,45.9368,0,1,
391286,14.6924,0.266682,47.6357,0,2,
391855,0,0,176.997,1,0,
392448,0,0,140.497,0,0,
392559,11.6036,0.437077,42.6142,0,1,
393017,9.91413,0.403462,44.8286,0,1,
393625,13.07,0.464422,49.2295,0,1,
394315,11.2884,0.324315,45.4558,0,2,
396579,11.5015,0.435115,43.7444,0,1,
397182,11.3278,0.431758,45.4195,0,1,
398738,0,0,138.028,1,0,
398893,0,0,137.511,1,0,
400019,9.80789,0.404016,44.5825,1,1,
400686,12.2415,0.449161,46.0848,0,1,
401670,8.04506,0.362906,43.0433,1,1,
401762,10.6315,0.418043,48.3106,0,1,
403832,9.63395,0.397631,42.6003,0,1,
405188,11.0998,0.427312,43.9523,0,1,
405640,13.2829,0.46827,46.3383,0,1,
405726,0.314746,0.0713472,45.8716,1,1,
406761,9.89938,0.403157,48.6266,0,1,
407522,13.6145,0.474206,45.8281,0,1,
408629,11.9713,0.444081,43.1803,0,1,
408674,11.0877,0.427076,51.0117,0,1,
409504,14.3803,0.487662,46.9309,0,1,
410152,11.2725,0.430684,43.3398,0,1,
411392,0,0,138.271,1,0,
412166,0,0,136.596,1,0,
412820,0,0,139.505,1,0,
413363,0,0,136.043,1,0,
413575,0,0,138.875,1,0,
413665,12.8514,0.19929,49.118,0,2,
413775,0,0,137.279,1,0,
414006,9.29449,0.390458,46.9652,0,1,
420067,0,0,137.951,1,0,
423799,10.1115,0.407523,46.3573,0,1,
423853,8.78763,0.379509,44.2356,0,1,
425740,9.38469,0.392376,45.092,0,1,
426655,10.4288,0.413973,43.1619,0,1,
427438,9.49797,0.394772,45.1537,0,1,
432429,0,0,142.402,1,0,
432655,13.028,0.46366,43.085,0,1,
433979,13.8149,0.477759,45.9545,0,1,
435650,12.87,0.460781,44.0954,0,1,
435842,31.8839,0.736803,45.42,1,1,
438642,0,0,137.829,1,0,
438833,0,0,140.396,0,0,
439205,9.91885,0.40356,45.08,0,1,
439255,0,0,138.459,1,0,
441181,11.4913,0.434919,43.9739,0,1,
443376,0,0,138.675,1,0,
443622,13.2452,0.46759,47.0816,0,1,
448842,13.465,0.471538,47.7948,0,1,
448987,0,0,139.273,1,0,
449049,91.4569,0.32131,45.899,1,3,
449889,0,0,139.584,1,0,
454451,0,0,138.539,1,0,
454727,11.8555,0.441886,46.253,0,1,
456879,11.5458,0.435969,47.2101,0,1,
457576,11.6377,0.437732,46.606,0,1,
461857,14.059,0.482058,44.4925,0,1,
464143,13.1159,0.465255,44.0241,0,1,
464586,0,0,136.437,1,0,
466804,0,0,138.741,1,0,
469119,0,0,138.578,1,0,
469843,13.8074,0.452469,46.6124,0,1,
470557,66.2397,0.888943,47.6515,0,2,
475013,13.6817,0.4754,43.8863,0,1,
476619,8.77743,0.379285,43.9298,0,1,
478001,0,0,139.884,1,0,
478119,413.596,2.37405,49.0952,0,2,
478655,7.99693,0.361805,47.7464,0,1,
479055,0,0,136.663,1,0,
479129,10.1791,0.408904,43.9598,0,1,
479530,0,0,139.245,1,0,
482093,0,0,139.948,1,0,
483442,12.0635,0.445821,48.091,0,1,
483675,0,0,140.127,1,0,
484074,13.3459,0.469402,44.9275,0,1,
485280,0,0,138.526,1,0,
485895,0,0,138.339,1,0,
487256,0,0,139.35,1,0,
488791,0,0,140.175,1,0,
490011,0,0,136.312,1,0,
490318,0,0,139.047,1,0,
490409,0,0,143.778,1,0,
493041,443.193,2.95547,53.3178,1,2,
493303,10.748,0.420368,44.5666,0,1,
493901,0,0,137.245,1,0,
495448,0,0,138.081,1,0,
496755,11.7697,0.440255,44.9836,0,1,
498387,0,0,136.925,1,0,
499867,10.6073,0.417559,43.2143,0,1,
500203,0,0,136.842,1,0,
500550,9.00524,0.289228,46.8006,0,2,
505117,41.2921,0.763459,48.6648,0,2,
506406,12.4663,0.45335,43.382,0,1,
508544,11.7154,0.439218,44.1714,0,1,
508669,0,0,140.982,1,0,
508808,14.7476,0.493996,46.5516,0,1,
509984,4.03033,0.25605,45.5014,1,1,
512688,0,0,137.111,1,0,
512825,0,0,137.16,1,0,
513597,14.3355,0.486883,43.4995,0,1,
514386,8.93658,0.382757,45.7121,0,1,
515764,0,0,138.075,1,0,
517713,11.8539,0.441855,46.2859,0,1,
520804,12.3165,0.450562,50.8087,0,1,
520908,12.4565,0.453168,46.8058,0,1,
522043,0,0,136.55,1,0,
523210,9.47996,0.394392,46.9159,0,1,
523511,12.8988,0.461307,46.1668,0,1,
526776,13.6078,0.474086,47.4338,0,1,
529374,11.9685,0.444028,44.0645,0,1,
530119,18.6365,0.241332,47.157,0,2,
530124,0,0,140.288,1,0,
531615,13.7196,0.476072,47.0346,0,1,
531791,8.41343,0.37123,45.4437,1,1,
533039,0,0,139.971,1,0,
534371,83.0097,0.719958,49.6209,0,2,
540198,12.9811,0.462807,44.9129,0,1,
541139,15.9269,0.51386,42.9514,0,1,
541744,11.9573,0.443815,42.7475,0,1,
543955,13.1959,0.4667,45.0144,0,1,
545180,0,0,198.016,0,0,
546198,0,0,139.363,1,0,
546848,8.82697,0.380369,47.6201,1,1,
546936,38.3329,0.716829,48.5391,0,2,
547611,11.9542,0.443757,42.3067,0,1,
548887,0,0,138.974,1,0,
549574,12.9027,0.461378,46.2522,0,1,
550257,15.0471,0.499109,43.6321,0,1,
552308,0,0,138.187,1,0,
554323,10.5525,0.416461,45.4942,0,1,
554777,14.8278,0.49537,43.4128,0,1,
555731,0,0,139.601,1,0,
556929,0,0,141.412,1,0,
557035,0,0,137.464,1,0,
557175,15.5941,0.510791,45.3178,1,1,
557199,0,0,135.91,1,0,
559138,0,0,137.49,1,0,
559646,0,0,137.013,1,0,
562968,0,0,136.555,1,0,
563365,11.371,0.432595,46.875,0,1,
563923,0,0,138.883,1,0,
565851,0,0,139.2,1,0,
565905,0,0,144.106,1,0,
566712,0,0,136.899,1,0,
569423,0,0,140.77,1,0,
569493,10.8138,0.421673,43.4506,0,1,
569770,0,0,137.557,1,0,
572460,31.8869,0.676499,47.7616,0,2,
574393,0,0,140.959,1,0,
574453,9.06885,0.38562,47.7441,0,1,
575151,10.5665,0.416741,47.3487,0,1,
575542,0,0,138.279,1,0,
575791,3.12872,0.22544,44.8289,1,1,
578837,10.7769,0.420942,47.1765,0,1,
579299,8.98418,0.383789,49.0313,0,1,
579400,0,0,140.637,1,0,
579509,0,0,134.748,0,0,
582253,7.69056,0.354721,46.6325,1,1,
585013,0,0,139.662,1,0,
585896,0,0,137.873,1,0,
586943,201.682,1.62074,46.2101,0,2,
592446,0,0,137.409,1,0,
592967,10.9055,0.423488,46.7933,0,1,
595350,11.981,0.444263,44.8276,0,1,
597816,2.74081,0.210938,46.9567,1,1,
600651,0,0,137.802,1,0,
601702,0,0,137.894,1,0,
