eventID,experimentalRecoilEnergy,timeOfFlight,success,
181893,0,3.72627,0,
182273,0,32.2661,0,
182528,0,10.6896,1,
183466,0,42.0604,0,
183477,0,7.20816,0,
183814,0,12.1416,0,
184018,0,6.7381,0,
184243,0,11.7914,0,
184554,0,30.3583,0,
184689,0,14.6315,0,
185339,0,19.6436,0,
185825,0,15.277,0,
186110,0,12.239,0,
187823,0,15.6571,0,
187874,0,24.4671,0,
188195,0,9.31649,0,
188306,0,13.3978,0,
188467,0,35.0127,0,
189027,0,21.5454,0,
189955,0,10.4097,0,
190187,0,20.0298,0,
191484,0,11.7886,0,
192611,0,53.0888,0,
193221,0,15.7803,0,
194817,0,45.2696,0,
194976,0,24.9349,0,
197022,0,27.8052,0,
198242,0,12.7966,1,
198316,0,49.1883,0,
199724,0,14.4306,0,
201361,0,11.8909,1,
202107,0,8.97811,0,
202561,0,23.7472,0,
202847,0,12.5869,0,
203036,0,11.0777,0,
203770,0,12.6243,0,
204909,0,39.2589,0,
205309,0,13.4418,0,
205389,0,42.3821,0,
205602,0,8.19706,0,
205662,0,13.2458,0,
206151,0,27.3584,0,
207077,0,5.59977,0,
208572,0,12.3753,0,
209793,0,11.7448,0,
210340,0,16.7574,0,
212021,0,12.3315,1,
212687,0,8.17023,0,
212729,0,11.1473,0,
213651,0,31.264,0,
213719,0,10.8786,0,
214897,0,6.37331,0,
215697,0,28.1105,0,
215822,0,7.46223,0,
216399,0,12.4347,0,
216478,0,5.27881,0,
216533,0,11.7041,0,
217298,0,10.4921,0,
218197,0,13.4771,0,
218764,0,8.16716,0,
219011,0,7.45139,0,
219503,0,9.60121,0,
219808,0,42.8677,0,
220469,0,11.4372,0,
220772,0,13.0388,1,
220831,0,12.6132,1,
221937,0,12.9008,0,
222087,0,9.34123,0,
222328,0,17.2653,0,
222811,0,22.9868,0,
223998,0,10.0488,0,
224005,0,1.72198,0,
224987,0,16.4439,0,
226358,0,5.32458,0,
226843,0,16.3854,0,
226851,0,6.08533,0,
227233,0,12.7038,0,
227781,0,32.2245,0,
230774,0,5.35779,0,
231113,0,9.5493,0,
232347,0,7.33311,0,
232402,0,5.69721,0,
232605,0,13.1385,0,
232910,0,12.1641,0,
233688,0,30.8031,0,
234027,0,20.0918,0,
234419,0,11.8105,0,
235269,0,6.82079,0,
236424,0,9.86463,0,
238909,0,57.0812,0,
239158,0,11.5256,0,
240169,0,16.4464,0,
240340,0,29.8163,0,
241654,0,8.40833,0,
241906,0,63.4312,0,
242772,0,8.70037,0,
243942,0,8.3337,0,
244957,0,29.8396,0,
245330,0,9.01972,0,
246525,0,8.91705,0,
247004,0,8.15797,0,
247233,0,8.3955,0,
247613,0,9.20585,0,
248059,0,9.3218,0,
248205,0,30.6595,0,
248524,0,11.0135,1,
248802,0,8.98453,0,
248993,0,55.5583,0,
249272,0,58.8497,0,
250185,0,7.11876,0,
253680,0,13.8098,0,
254032,0,34.2398,0,
254634,0,41.6379,0,
254765,0,9.14763,0,
254986,0,6.43569,0,
255940,0,11.4549,0,
256607,0,10.5729,0,
257080,0,6.73337,0,
257343,0,7.80231,0,
257713,0,27.9232,0,
258079,0,31.3659,0,
259222,0,10.8515,0,
259333,0,11.133,0,
259390,0,16.1716,0,
259835,0,9.83225,0,
260088,0,20.6426,0,
261995,0,12.9485,0,
263555,0,12.2548,0,
264451,0,25.5736,0,
264964,0,13.2217,0,
265783,0,12.475,0,
266721,0,5.81199,0,
266848,0,9.37194,0,
269051,0,16.7277,0,
269981,0,10.2985,1,
270393,0,3.20238,0,
270597,0,13.2361,0,
273660,0,14.1631,1,
274380,0,23.9372,0,
274408,0,8.40372,0,
274655,0,41.6281,0,
275277,0,12.1917,1,
276420,0,22.3539,0,
276513,0,12.5042,0,
277363,0,11.4108,0,
278929,0,8.51267,0,
279326,0,8.11737,1,
279900,0,19.2693,0,
280129,0,3.34363,0,
280507,0,13.0766,0,
280636,0,8.46516,0,
281354,0,39.2953,0,
281851,0,6.66894,0,
281886,0,8.39145,0,
283593,0,4.86446,0,
283602,0,10.9565,0,
284115,0,20.7678,0,
284154,0,23.2914,0,
284738,0,12.1652,0,
284766,0,12.6936,0,
284792,0,9.69722,1,
285247,0,6.35103,0,
286320,0,11.1882,0,
287059,0,12.0881,0,
287799,0,16.4176,0,
290290,0,70.1434,0,
291530,0,11.7965,0,
292345,0,9.15045,0,
292662,0,2.44777,0,
293262,0,13.3814,0,
295362,0,11.2827,0,
295479,0,22.6557,0,
295517,0,15.1422,0,
295531,0,12.0749,0,
295735,0,63.8657,0,
296147,0,10.1193,0,
296207,0,34.0407,0,
297300,0,8.99599,0,
297910,0,16.792,0,
299157,0,7.37082,0,
299284,0,10.6026,0,
299872,0,19.9067,0,
