nucleusKineticEnergykeV,numPhotonsCreated,nucleusEnergykeVPost,
50.3777,426,0,
50.7193,432,0,
48.4336,418,0,
46.9832,410,0,
46.9598,414,0,
48.1671,418,0,
45.5614,407,0,
49.5444,422,0,
45.9072,407,0,
46.6225,410,0,
49.0235,421,0,
53.207,438,0,
46.4556,413,0,
47.2535,415,0,
49.4625,423,0,
48.1558,419,0,
47.2669,410,0,
52.2372,434,0,
54.8511,447,0,
47.1564,414,0,
46.3382,411,0,
46.5369,407,0,
54.2178,444,0,
54.7846,447,0,
47.041,413,0,
47.7517,417,0,
46.615,413,0,
47.0209,409,0,
48.4648,419,0,
47.3696,411,0,
51.0484,432,0,
50.9209,431,0,
54.0396,445,0,
46.963,417,0,
54.8636,446,0,
47.5918,420,0,
53.5016,444,0,
45.2415,400,0,
45.1881,401,0,
47.5069,412,0,
45.2365,402,0,
47.5548,413,0,
54.4108,445,0,
48.3303,420,0,
53.6545,443,0,
49.0112,422,0,
48.8003,418,0,
53.2833,441,0,
50.8923,427,0,
47.9801,421,0,
49.2491,417,0,
45.6255,407,0,
46.8456,414,0,
49.9819,423,0,
50.2437,426,0,
53.5081,440,0,
46.8194,415,0,
50.2629,428,0,
53.6552,441,0,
52.3754,437,0,
48.7667,421,0,
47.672,414,0,
48.106,416,0,
53.4524,440,0,
47.6151,417,0,
47.1018,414,0,
53.6362,447,0,
50.7061,428,0,
45.418,408,0,
51.2235,434,0,
46.6964,411,0,
51.3447,431,0,
52.2394,436,0,
47.9119,418,0,
45.5782,406,0,
48.0872,416,0,
51.7418,434,0,
54.9156,448,0,
52.8251,439,0,
52.1277,437,0,
49.2752,424,0,
46.2921,408,0,
52.5481,438,0,
46.8166,409,0,
48.6702,421,0,
46.9573,414,0,
54.4541,445,0,
48.7607,424,0,
50.294,430,0,
51.1281,430,0,
45.8888,409,0,
46.9559,409,0,
49.3987,425,0,
48.2024,417,0,
50.14,425,0,
49.0953,426,0,
53.5975,442,0,
52.9805,438,0,
48.5146,418,0,
52.4167,439,0,
54.527,445,0,
52.2033,433,0,
52.8724,438,0,
49.2812,426,0,
47.8799,419,0,
51.3028,431,0,
53.9414,442,0,
46.0482,407,0,
51.984,435,0,
46.3622,411,0,
46.891,416,0,
45.0748,405,0,
51.515,431,0,
45.8221,409,0,
46.3586,409,0,
47.7854,420,0,
53.3958,441,0,
46.7676,411,0,
50.6897,427,0,
54.645,445,0,
46.5735,407,0,
47.003,415,0,
48.0016,418,0,
48.3037,419,0,
53.7757,445,0,
52.5557,440,0,
52.6557,434,0,
48.7563,422,0,
51.1574,430,0,
48.813,423,0,
