eventID,numPhotons,numUp,numDown,coincidenceTime,numElasticSensitive,scatteredInelastically,scatteredNotSensitive,
489972,496,29,38,4.23506,1,0,0,
495612,469,30,34,11.4009,1,0,0,
513169,524,35,40,18.8913,2,0,0,
513559,632,28,27,17.6556,1,0,1,
521486,799,43,47,14.5494,2,0,0,
528735,1004,32,53,1.68889,1,0,1,
532082,475,26,37,0.777093,1,0,0,
536889,489,29,13,18.7028,1,0,1,
554099,482,37,30,49.3527,1,0,0,
560198,564,27,45,52.2697,2,0,0,
587446,766,40,35,12.6054,1,0,1,
595983,453,20,26,5.66783,1,0,0,
597803,468,25,22,9.28975,1,0,0,
600387,448,28,30,11.7299,2,0,0,
602535,498,22,18,28.6468,1,0,1,
624164,489,20,29,5.15521,1,0,0,
643173,481,34,16,0.243523,1,0,1,
657564,478,27,33,12.859,1,0,0,
660896,727,23,16,22.4006,1,0,1,
686738,788,55,44,0.33965,2,0,0,
721210,505,32,34,10.8923,1,0,0,
729801,482,26,23,29.6101,1,0,0,
743889,486,28,28,11.0115,1,0,0,
745461,462,22,29,7.82474,1,0,0,
753979,587,36,43,25.5576,3,0,0,
764617,467,34,22,49.5875,1,0,0,
774654,469,29,27,33.2694,1,0,0,
800106,485,24,31,2.18205,1,0,0,
801691,466,34,25,29.854,1,0,0,
803938,692,29,40,13.3234,2,0,1,
816551,669,45,32,3.71522,4,0,0,
846808,554,2,6,9.19637,1,0,1,
851861,454,1,4,0.266623,1,0,1,
865433,478,27,33,91.2343,1,0,0,
866982,2000,64,68,42.4994,4,0,1,
868493,474,28,23,8.965,1,0,0,
868700,472,29,34,24.3408,1,0,0,
882793,481,4,1,40.3908,1,0,1,
892693,460,29,37,2.07159,1,0,0,
914596,766,20,25,1.20827,1,0,1,
923198,465,28,15,12.6164,1,0,0,
953161,464,27,41,23.5845,1,0,0,
954076,870,67,56,15.9515,2,0,0,
957951,475,16,18,7.34615,1,0,0,
957954,650,26,25,48.2662,1,0,1,
960721,471,34,25,14.0823,1,0,0,
968686,458,33,29,19.3326,1,0,0,
969522,460,33,27,2.72245,1,0,0,
971404,484,33,29,0.701389,1,0,0,
975039,781,46,41,8.4555,2,0,0,
985243,843,30,19,13.0496,2,0,1,
1009480,822,17,7,0.250904,1,0,1,
1027924,470,16,29,0.465653,1,0,0,
1041209,1218,58,61,14.4002,3,0,1,
1044082,499,29,31,41.1734,1,0,0,
1049547,481,28,21,6.2364,1,0,0,
1060439,1197,93,64,4.5427,3,0,0,
1063808,459,35,17,9.61445,1,0,0,
1066063,449,25,31,31.9052,1,0,0,
1079944,815,7,11,25.3865,1,0,1,
1086515,265,21,13,34.2266,1,0,0,
1092609,431,11,9,31.4606,1,0,1,
1096805,577,3,8,6.64448,1,0,1,
1133563,596,33,40,48.2039,2,0,0,
1153477,469,27,31,5.65006,1,0,0,
1182005,545,5,9,7.94877,1,0,1,
1182844,497,25,29,7.91519,2,0,0,
1187065,524,9,28,7.92947,1,0,1,
1188999,463,30,19,29.7024,1,0,0,
1202963,516,14,29,23.1739,1,0,1,
1230176,702,13,21,3.2853,2,0,1,
1240982,457,32,28,15.9743,2,0,0,
1241906,378,36,8,11.982,1,0,0,
1250992,839,7,5,3.21905,1,0,1,
1252466,502,25,34,5.91141,1,0,0,
1291776,489,34,24,0.861878,1,0,0,
1292759,484,24,25,15.5401,1,0,0,
1308411,492,31,18,1.00041,1,0,1,
1310344,467,13,18,0.626448,1,0,1,
1331285,498,29,36,40.2052,1,0,0,
1336555,509,25,32,30.2734,2,0,0,
1357941,482,32,34,0.884471,1,0,0,
1359841,485,30,32,4.33142,1,0,0,
1362949,488,31,38,23.0929,1,0,0,
1386404,485,26,28,8.42874,1,0,0,
1393751,491,22,29,25.1208,1,0,0,
1398791,746,19,38,8.60236,2,0,1,
1399049,479,22,29,15.1673,1,0,0,
1427237,450,29,36,9.99994,1,0,0,
1433519,704,40,26,40.3644,1,0,1,
1441780,439,37,28,22.7086,1,0,0,
1457019,499,29,26,16.0821,1,0,0,
1461456,475,39,29,5.94431,1,0,0,
1479040,494,16,21,6.15604,1,0,1,
1481729,694,37,49,9.68154,2,0,0,
1517558,607,33,26,2.22205,2,0,1,
1526913,587,40,31,7.55321,2,0,0,
1536352,966,47,44,59.9469,2,0,1,
1548211,491,40,22,23.3816,1,0,0,
1559075,848,28,32,2.67643,1,0,1,
1593795,518,23,38,10.1611,2,0,0,
1612951,454,22,27,10.5208,1,0,0,
1620090,1556,74,93,9.84298,3,0,0,
1625441,449,24,34,12.5181,1,0,0,
1632230,474,25,29,6.09023,1,0,0,
1633665,472,29,30,5.20648,1,0,0,
1645372,503,34,26,56.14,1,0,0,
1652774,491,32,26,31.3656,1,0,0,
1657164,485,28,26,20.8028,1,0,0,
1674077,479,32,42,4.33318,1,0,0,
1693762,498,22,27,17.2824,1,0,0,
1706067,459,24,32,0.902127,1,0,0,
1718030,494,27,30,26.1318,1,0,0,
1734971,488,25,27,51.5651,1,0,0,
1735297,502,33,29,9.56739,1,0,0,
1745336,496,32,31,22.7644,1,0,0,
1745746,476,31,31,42.3292,1,0,0,
1751060,492,33,29,65.4351,1,0,0,
1757922,469,30,25,9.05084,1,0,0,
1758085,474,21,23,2.62632,1,0,0,
