eventID,numPhotons,numUp,numDown,coincidenceTime,numElasticSensitive,scatteredInelastically,scatteredNotSensitive,nucleusRecoilEnergy,timeOfFlight,
651548,1649,78,125,41.5086,3,0,0,361.074,46.9538,
660214,1038,92,42,27.5054,3,0,0,109.816,43.5486,
662162,1030,64,22,26.5758,1,0,1,56.985,48.2861,
685718,907,34,33,10.3518,1,0,1,44.5117,46.214,
688554,764,9,15,22.8619,1,0,1,12.6822,48.2141,
717197,648,24,53,2.52975,1,0,0,116.456,47.564,
746203,1571,83,119,11.3494,2,0,0,353.203,47.001,
751459,651,32,49,12.7743,1,0,0,116.825,44.3264,
755118,666,61,26,6.85684,1,0,0,122.344,44.5706,
757605,659,48,35,12.0064,1,0,0,119.972,48.3572,
778438,656,24,57,41.6751,1,0,0,118.157,45.0679,
797129,657,62,26,25.0113,1,0,0,119.803,47.6839,
800525,658,41,37,8.19233,1,0,0,117.896,46.5717,
805920,980,45,59,5.68044,1,0,1,169.611,45.4197,
808193,650,15,61,15.8514,1,0,0,115.971,47.0837,
845403,696,36,42,8.05448,2,0,0,84.8706,46.1805,
886338,649,46,35,17.4334,1,0,0,116.162,46.6356,
907807,675,33,42,1.88,1,0,0,126.227,45.569,
916966,680,59,28,14.566,1,0,0,126.821,48.1064,
927355,591,18,16,6.81588,1,0,1,29.515,44.56,
932466,663,34,57,0.401052,1,0,0,119.921,45.1958,
942190,635,34,30,0.99565,1,0,0,109.331,44.0075,
966909,664,13,60,64.6763,1,0,0,120.639,47.9883,
1059335,660,20,58,3.2007,1,0,0,119.351,47.074,
1066786,663,50,29,17.0767,1,0,0,120.288,44.1374,
1071726,683,69,22,29.6808,1,0,0,128.491,46.5841,
1089232,662,38,37,4.10409,1,0,0,122.571,46.9729,
1106258,811,45,53,38.9367,1,0,0,184.769,48.5454,
1115341,647,26,50,14.8401,1,0,0,114.955,45.6365,
1118198,665,28,58,4.31581,1,0,0,122.22,47.3377,
1119719,611,20,54,8.33991,1,0,0,101.293,45.9905,
1145179,1662,47,87,20.2058,2,0,1,172.931,47.9538,
1148075,926,12,40,43.8049,1,0,1,51.7646,46.9304,
1150140,647,45,35,9.29362,1,0,0,114.167,46.6433,
1156314,651,70,29,4.7279,1,0,0,116.499,44.3321,
1157246,664,37,35,7.13335,1,0,0,121.734,46.8825,
1199744,869,27,37,5.58661,1,0,1,31.9754,44.4053,
1228186,663,32,55,10.3916,1,0,0,121.288,47.4056,
1231774,664,49,38,2.52407,2,0,0,114.304,43.9792,
1238210,765,34,55,41.668,2,0,0,81.2543,47.5911,
1275135,921,26,20,3.63006,1,0,1,36.0686,46.499,
1296232,853,48,68,90.955,2,0,0,109.603,45.8592,
1316642,653,53,27,5.01881,1,0,0,117.239,48.5327,
1334523,1249,54,116,9.22223,4,0,0,123.864,45.3628,
1344669,696,63,31,49.0701,2,0,0,69.7105,42.9892,
1352682,1760,32,9,87.8903,1,0,1,32.0011,48.7679,
1353439,2000,49,109,20.7618,2,0,1,197.934,48.4011,
1356783,673,19,53,53.2884,1,0,0,123.027,47.5011,
1356796,680,51,32,39.2637,1,0,0,127.634,46.8579,
1385103,676,24,65,10.3179,1,0,0,126.483,47.3044,
1428530,718,37,57,19.4348,2,0,0,130.236,46.8584,
1443598,644,19,53,29.5855,1,0,0,113.408,47.8402,
1444107,643,17,58,43.9706,1,0,0,112.35,45.2731,
1452452,666,23,57,8.95493,1,0,0,122.049,44.8186,
1453711,667,28,51,0.889111,1,0,0,123.022,46.3437,
1457880,700,45,51,12.7254,2,0,0,99.1365,46.8119,
1470517,669,20,66,56.0784,1,0,0,123.123,45.4776,
1527799,1000,66,60,9.30379,2,0,0,148.39,48.4456,
1540824,822,64,34,4.47765,2,0,0,148.609,46.1946,
1546980,650,40,31,33.7659,1,0,0,115.103,47.122,
1571958,694,21,80,11.7689,1,0,0,132.416,45.504,
1606159,683,21,70,8.18555,1,0,0,125.686,47.048,
