eventID,eDep,
403,73.5275,
404,73.4722,
405,70.4731,
407,56.6002,
409,56.8972,
410,73.4908,
411,65.3963,
412,73.3336,
413,73.5294,
414,51.1762,
418,73.5006,
419,67.152,
423,69.4305,
426,63.2333,
427,65.6347,
430,73.464,
431,56.9529,
432,65.0669,
433,57.5136,
434,72.3334,
435,71.4426,
438,70.6369,
440,59.2582,
441,70.1933,
442,72.432,
444,57.0758,
445,71.1571,
446,64.799,
448,73.3386,
449,66.4279,
450,57.4769,
453,72.4738,
457,58.7341,
458,55.6683,
459,59.5121,
462,73.0168,
463,73.1382,
464,60.0728,
465,51.2074,
467,70.8655,
468,73.4786,
469,59.2178,
471,73.5274,
472,72.1664,
473,71.5976,
478,51.2994,
480,73.1609,
483,73.2127,
485,52.9671,
487,60.1759,
488,53.91,
489,70.2497,
490,73.4187,
491,69.9794,
492,65.2717,
493,62.014,
494,59.9912,
495,63.9288,
496,73.4384,
497,57.0593,
498,69.5534,
500,58.3907,
501,56.1721,
502,65.5375,
503,69.5619,
504,63.759,
506,52.9912,
508,73.5294,
510,73.3205,
511,73.1256,
515,52.1032,
516,51.2346,
517,64.0472,
518,62.3976,
520,63.0669,
521,52.0753,
522,61.875,
523,53.7529,
524,65.5015,
526,65.2236,
527,73.2959,
528,72.4839,
532,65.8685,
533,60.5609,
535,59.6512,
539,67.2118,
541,68.5484,
543,72.555,
544,59.7759,
547,52.5583,
548,73.3739,
549,73.5197,
553,63.8957,
556,72.8175,
557,71.7285,
558,59.7396,
559,71.1548,
560,52.5917,
564,60.7985,
565,71.9254,
566,67.1731,
567,51.3995,
570,73.5242,
571,53.0105,
573,73.487,
574,65.6052,
575,73.5293,
576,64.2632,
577,53.3019,
578,68.7692,
579,66.6775,
580,73.1688,
581,73.405,
584,73.5293,
585,70.6021,
587,73.5292,
589,63.9956,
593,73.0882,
594,70.0222,
595,65.889,
596,69.4755,
597,72.1485,
602,51.4556,
603,64.4372,
604,71.4562,
606,70.6332,
607,73.5291,
609,67.637,
610,63.0886,
611,68.4708,
612,72.9989,
613,73.4249,
615,69.3716,
