eventID,eDep,
627,1037.95,
628,1476.3,
629,0,
630,1514.5,
631,473.156,
632,500.236,
633,0,
634,584.286,
635,1734.45,
636,1715.14,
637,1846.57,
638,1159.69,
639,0,
640,84.5793,
641,926.381,
642,0,
643,1095.95,
644,1549.57,
645,0,
646,1486.6,
647,1114.93,
648,1464.19,
649,0,
650,952.73,
651,1828.15,
652,836.318,
653,560.63,
654,1104.97,
655,1727.24,
656,1118.51,
657,1374.31,
658,225.628,
659,627.175,
660,1892.84,
661,0,
662,1625,
663,1524.11,
664,695.263,
665,0,
666,0,
667,1809.47,
668,1859.21,
669,832.811,
670,647.606,
671,807.864,
672,899.237,
673,754.031,
674,948.326,
675,1211.7,
676,513.312,
677,1527.77,
678,0,
679,1312.36,
680,1005.61,
681,425.503,
682,203.305,
683,0,
684,1453.87,
685,830.109,
686,1223.52,
687,0,
688,1073.39,
689,1679.63,
690,810.137,
691,1902.54,
692,710.963,
693,1242.94,
694,1193.03,
695,1157.6,
696,1470.37,
697,1050.62,
698,331.857,
699,1527.15,
700,597.762,
701,969.563,
702,825.468,
703,1922.67,
704,1376.53,
705,569.245,
706,0,
707,18.393,
708,738.111,
709,1738.68,
710,106.224,
711,503.987,
712,88.4592,
713,1069.33,
714,1038.92,
715,1104.41,
716,1292.51,
717,0,
718,1636.9,
719,1013.62,
720,1132.19,
721,1797.45,
722,819.791,
723,1393.26,
724,485.723,
725,1575.69,
726,960.156,
727,994.643,
728,650.253,
729,1221.9,
730,65.1716,
731,371.856,
732,1122.29,
733,0,
734,1650.99,
735,1133.3,
736,1602.57,
737,1440.11,
738,0,
739,0,
740,1652.82,
741,0,
742,1630.11,
743,537.052,
744,856.245,
745,1122.43,
746,1121.01,
747,71.2594,
748,1318.13,
749,1969.86,
750,0,
751,1136.51,
752,1267.95,
753,490.435,
754,0,
755,1379.83,
756,869.24,
757,0,
758,1023.09,
759,0,
760,1039.56,
761,0,
762,896.815,
763,17.5083,
764,0,
765,398.333,
766,1118.52,
767,1651.82,
768,758.741,
769,1875.66,
770,0,
771,0,
772,0,
773,1121.91,
774,863.8,
775,824.424,
776,377.277,
777,0,
778,618.484,
779,1294.94,
780,0,
781,1825.92,
782,1007.72,
783,0,
784,924.873,
785,1341.23,
786,516.766,
787,1950.37,
788,990.839,
789,0,
790,1799.3,
791,0,
792,0,
793,1179.53,
794,1933.39,
795,428.585,
796,1682.9,
797,605.737,
798,0,
799,0,
800,1418.72,
801,1513.16,
802,1797.76,
803,1277.1,
804,1672.55,
805,1139.39,
806,985.108,
807,985.541,
808,0,
809,1365.87,
810,0,
811,88.2085,
812,1475.91,
813,1492.59,
814,1013.26,
815,1230.07,
816,654.239,
817,243.021,
818,926.456,
819,966.333,
820,1901.97,
821,866.9,
822,915.476,
823,815.95,
824,875.512,
825,0,
826,0,
827,0,
828,1053.49,
829,1082.05,
830,1539.03,
831,1975.52,
832,1039.02,
833,1533.59,
834,1054.24,
835,1108.23,
836,900.977,
837,0,
838,1416.96,
839,1997.35,
840,347.973,
841,1488.86,
842,0,
843,901.267,
844,972.403,
845,1452.18,
846,0,
847,1768.7,
848,1600.54,
849,13.095,
850,1302.77,
851,1517.98,
852,1245.75,
853,0,
854,727.403,
855,453.075,
856,1046.52,
857,610.381,
858,1547.71,
859,1525.19,
860,432.109,
861,402.623,
862,329.767,
863,97.6366,
864,608.804,
865,1144.88,
866,332.827,
867,1291.22,
868,847.856,
869,504.514,
870,238.335,
871,0,
872,1225.69,
873,1225.32,
874,0,
875,1935.72,
876,0,
877,752.899,
878,750.691,
879,1233.52,
880,793.89,
881,1413.1,
882,423.357,
883,1659.18,
884,96.8486,
885,0,
886,708.406,
887,0,
888,0,
889,0,
890,547.26,
891,937.183,
892,1085.04,
893,1500.36,
894,915.782,
895,0,
896,776.804,
897,1391.96,
898,1014.08,
899,1107.79,
900,651.29,
901,986.692,
902,1190.13,
903,1182.33,
904,1477.37,
905,1825.48,
906,1235,
907,667.804,
908,674.243,
909,1098.69,
910,1513.01,
911,0,
912,851.955,
913,818.753,
914,169.216,
915,712.907,
916,548.792,
917,1456.98,
918,767.05,
919,474.739,
920,1390.33,
921,1219.03,
922,1123.94,
923,0,
924,1375.11,
925,1159.64,
926,0,
927,747.569,
928,47.0224,
929,30.8842,
930,1601.92,
931,1102.07,
932,0,
933,1662.3,
934,553.576,
935,1141.45,
936,518.363,
937,0,
938,1943.9,
939,562.375,
940,954.564,
941,1654.1,
942,1721.05,
943,1692.12,
944,735.848,
945,883.435,
946,1246.13,
947,998.896,
948,1009.95,
949,1568.61,
950,1481.08,
951,549.843,
952,1317.26,
953,1097.76,
954,494.7,
955,1636.24,
956,1982.11,
957,1222.42,
958,1137.66,
959,1800.46,
960,50.2865,
961,1327.13,
962,763.916,
963,865.458,
964,779.583,
965,1951.34,
966,803.473,
967,1324.57,
968,979.012,
969,155.706,
970,1326.13,
971,1032.5,
972,95.7826,
973,981.666,
974,1945.94,
975,1367.21,
976,1717.75,
977,1502.53,
978,625.68,
979,0,
980,841.103,
981,0,
982,0,
983,924.726,
984,1298,
985,0,
986,1611.03,
987,477.26,
988,1454.62,
989,628.224,
990,1052.71,
991,0,
992,1861.92,
993,1482.62,
994,1172.6,
995,1764.8,
996,1056.53,
997,777.502,
998,0,
999,0,
1000,103.227,
1001,0,
1002,720.847,
1003,1330.46,
1004,1188.17,
1005,589.466,
1006,1075.26,
1007,1098.39,
1008,1125.72,
1009,1925.98,
1010,627.514,
1011,1399.52,
1012,508.185,
1013,0,
1014,0,
1015,1355.22,
1016,676.889,
1017,499.231,
