eventID,energy,
860,2.44282,
861,2.45008,
863,2.26472,
865,2.46041,
866,2.28882,
867,2.47763,
868,2.47441,
869,2.48311,
870,2.26087,
871,2.31157,
872,2.46601,
873,2.2718,
874,2.28861,
875,2.44735,
876,2.49049,
877,2.41375,
878,2.43509,
880,2.3259,
881,2.45881,
882,2.45474,
883,2.48657,
884,2.35939,
885,2.44403,
887,2.30872,
888,2.49339,
889,2.49376,
891,2.49061,
892,2.48315,
893,2.48268,
894,2.49788,
895,2.44328,
896,2.29861,
897,2.47863,
898,2.27261,
900,2.46462,
901,2.2748,
902,2.36109,
903,2.4881,
904,2.29587,
905,2.48371,
906,2.39981,
907,2.33358,
908,2.48231,
909,2.44279,
910,2.48642,
911,2.47372,
912,2.30636,
913,2.49873,
914,2.44044,
915,2.47809,
916,2.47181,
917,2.48826,
919,2.39091,
920,2.39001,
921,2.49996,
922,2.33933,
924,2.41369,
926,2.36612,
927,2.4533,
928,2.32123,
929,2.26379,
930,2.33262,
931,2.30561,
932,2.37634,
933,2.49555,
935,2.33786,
936,2.45837,
937,2.48012,
938,2.47148,
939,2.35182,
940,2.47206,
941,2.49885,
943,2.48352,
945,2.49856,
946,2.48586,
947,2.46877,
948,2.40175,
949,2.46607,
950,2.28827,
951,2.33704,
952,2.339,
953,2.49185,
954,2.46099,
955,2.49251,
956,2.37322,
957,2.30179,
958,2.49458,
960,2.27416,
962,2.47082,
963,2.3761,
964,2.49655,
965,2.47045,
966,2.44982,
967,2.41304,
968,2.46529,
969,2.37932,
970,2.31844,
972,2.49966,
973,2.4957,
974,2.49034,
978,2.49577,
979,2.46662,
980,2.4728,
981,2.47775,
982,2.26086,
983,2.49837,
984,2.26114,
985,2.49591,
986,2.45633,
987,2.27743,
988,2.48749,
991,2.4909,
993,2.48613,
994,2.49414,
995,2.46743,
996,2.48089,
997,2.4815,
998,2.26535,
999,2.42464,
1000,2.47753,
1001,2.32493,
1002,2.35019,
1004,2.4868,
1006,2.34113,
1007,2.273,
1008,2.45471,
1009,2.36768,
1010,2.46595,
1011,2.29333,
1012,2.49444,
1013,2.26924,
1015,2.4822,
1016,2.48919,
1017,2.48129,
1018,2.41419,
1019,2.27721,
1022,2.46141,
1023,2.48804,
1024,2.31093,
1025,2.28788,
1026,2.45091,
1028,2.49076,
1029,2.47908,
1031,2.48878,
1032,2.45761,
1033,2.46697,
1034,2.38701,
1035,2.26054,
1036,2.49993,
1038,2.33731,
1039,2.37705,
1040,2.4823,
1041,2.48443,
1043,2.27815,
1044,2.45529,
1045,2.46426,
1046,2.30192,
1047,2.49299,
1048,2.26247,
1049,2.44175,
1050,2.31106,
1051,2.4722,
1052,2.38302,
1053,2.4811,
1054,2.27613,
1055,2.41754,
1056,2.46237,
1057,2.30111,
1058,2.31741,
1059,2.32473,
1060,2.49904,
1061,2.27998,
1062,2.49677,
1063,2.27727,
1064,2.30846,
1065,2.46375,
1066,2.29287,
1067,2.49794,
1068,2.43902,
1069,2.28639,
1070,2.30948,
1071,2.48862,
1073,2.27165,
1075,2.47288,
1077,2.29067,
1078,2.49086,
1079,2.48683,
1080,2.45047,
1081,2.41038,
1082,2.2677,
1084,2.28949,
1085,2.2915,
1086,2.47304,
1087,2.49948,
1088,2.46965,
1089,2.26685,
1090,2.44341,
1091,2.49177,
1092,2.47449,
1093,2.49935,
1096,2.4329,
1097,2.49934,
1098,2.44846,
1100,2.47707,
1101,2.48775,
1103,2.44462,
1104,2.49686,
1105,2.47725,
1106,2.45786,
1107,2.2792,
1108,2.46952,
1110,2.442,
1112,2.49009,
1114,2.48855,
1115,2.26845,
1116,2.49874,
1117,2.47748,
1118,2.48024,
1119,2.4959,
1120,2.49726,
1121,2.38593,
1122,2.482,
1123,2.49559,
1124,2.49092,
1128,2.48988,
1130,2.47383,
1131,2.46754,
1132,2.49749,
1133,2.49917,
1135,2.28619,
1136,2.48167,
1137,2.2995,
1138,2.49949,
1139,2.49301,
1140,2.30299,
1141,2.46076,
1142,2.4895,
1143,2.49716,
1146,2.47429,
1147,2.47011,
1148,2.47836,
1149,2.36754,
1150,2.39113,
1151,2.47984,
1153,2.4863,
1154,2.28993,
1155,2.43153,
1156,2.45939,
1157,2.48868,
1158,2.46859,
1160,2.47891,
1161,2.47609,
1164,2.48316,
1165,2.47333,
