energy;cx;cx_err
586860 eV ; 0.87305 b ; 0.0098104 b
589950 eV ; 0.69255 b ; 0.0092891 b
591830 eV ; 0.72340 b ; 0.020427 b
592460 eV ; 1.1803 b ; 0.020900 b
592900 eV ; 2.0795 b ; 0.034171 b
593150 eV ; 3.0534 b ; 0.036114 b
593400 eV ; 4.1929 b ; 0.038910 b
593650 eV ; 4.6940 b ; 0.040142 b
593900 eV ; 4.4295 b ; 0.039289 b
594150 eV ; 3.7714 b ; 0.037299 b
594530 eV ; 2.9413 b ; 0.025498 b
595040 eV ; 2.4407 b ; 0.025782 b
595540 eV ; 2.4335 b ; 0.024976 b
596050 eV ; 2.7019 b ; 0.025261 b
596550 eV ; 3.3246 b ; 0.026256 b
597060 eV ; 4.1776 b ; 0.027678 b
597690 eV ; 5.0541 b ; 0.024123 b
598450 eV ; 5.3619 b ; 0.024834 b
599230 eV ; 5.0242 b ; 0.024218 b
600220 eV ; 4.1949 b ; 0.017630 b
601430 eV ; 3.3264 b ; 0.016730 b
602640 eV ; 2.7952 b ; 0.016114 b
603870 eV ; 2.3369 b ; 0.016161 b
605100 eV ; 1.9882 b ; 0.015640 b
605810 eV ; 1.9574 b ; 0.039431 b
606000 eV ; 2.6245 b ; 0.040095 b
606160 eV ; 3.5479 b ; 0.051801 b
606290 eV ; 4.7712 b ; 0.055877 b
606420 eV ; 5.9248 b ; 0.061090 b
606550 eV ; 6.3530 b ; 0.064360 b
606680 eV ; 5.8906 b ; 0.061896 b
606810 eV ; 5.0219 b ; 0.058341 b
606940 eV ; 4.1463 b ; 0.055308 b
607070 eV ; 3.6287 b ; 0.053365 b
607230 eV ; 3.3105 b ; 0.042322 b
607430 eV ; 3.1269 b ; 0.041564 b
607630 eV ; 3.2159 b ; 0.041469 b
607820 eV ; 3.1381 b ; 0.041801 b
608020 eV ; 2.7930 b ; 0.041517 b
608600 eV ; 2.3083 b ; 0.017915 b
611230 eV ; 1.9162 b ; 0.0083412 b
615640 eV ; 1.6324 b ; 0.0090047 b
620010 eV ; 1.4974 b ; 0.0086730 b
622570 eV ; 1.4399 b ; 0.022370 b
623250 eV ; 1.5128 b ; 0.022370 b
623790 eV ; 1.7991 b ; 0.029052 b
624060 eV ; 2.3983 b ; 0.050806 b
624190 eV ; 3.0843 b ; 0.052275 b
624330 eV ; 3.8133 b ; 0.055450 b
624460 eV ; 4.5849 b ; 0.058104 b
624600 eV ; 4.6202 b ; 0.058341 b
624730 eV ; 3.7083 b ; 0.055261 b
624870 eV ; 2.7617 b ; 0.052038 b
625010 eV ; 2.0515 b ; 0.050664 b
625140 eV ; 1.5571 b ; 0.049384 b
625550 eV ; 1.2505 b ; 0.021896 b
626750 eV ; 1.2113 b ; 0.013791 b
628010 eV ; 1.2753 b ; 0.019479 b
628820 eV ; 1.6132 b ; 0.019858 b
629510 eV ; 2.6944 b ; 0.026161 b
629890 eV ; 4.2261 b ; 0.046114 b
630100 eV ; 5.4358 b ; 0.049668 b
630300 eV ; 6.7209 b ; 0.055118 b
630470 eV ; 8.0333 b ; 0.076872 b
630610 eV ; 9.4024 b ; 0.088673 b
630750 eV ; 10.720 b ; 0.10289 b
630890 eV ; 11.776 b ; 0.11517 b
631020 eV ; 12.468 b ; 0.12242 b
631160 eV ; 11.524 b ; 0.10758 b
631300 eV ; 9.6244 b ; 0.087820 b
631440 eV ; 7.9548 b ; 0.074455 b
631570 eV ; 6.4147 b ; 0.064455 b
631750 eV ; 5.1372 b ; 0.047630 b
631950 eV ; 4.1402 b ; 0.044218 b
632400 eV ; 3.0069 b ; 0.023033 b
633100 eV ; 2.3163 b ; 0.022464 b
634130 eV ; 1.9218 b ; 0.015498 b
637540 eV ; 1.5493 b ; 0.0077725 b
642930 eV ; 1.3721 b ; 0.0075355 b
648530 eV ; 1.2294 b ; 0.0077251 b
653950 eV ; 1.0986 b ; 0.0074408 b
657140 eV ; 0.95600 b ; 0.020521 b
657700 eV ; 1.0959 b ; 0.030806 b
657960 eV ; 1.5791 b ; 0.049905 b
658110 eV ; 2.1460 b ; 0.051327 b
658250 eV ; 3.1342 b ; 0.053744 b
658400 eV ; 4.4144 b ; 0.057109 b
658550 eV ; 5.5379 b ; 0.059242 b
658690 eV ; 6.0906 b ; 0.060474 b
658840 eV ; 5.6049 b ; 0.058199 b
658990 eV ; 4.6316 b ; 0.054123 b
659130 eV ; 3.8026 b ; 0.051659 b
659280 eV ; 3.0203 b ; 0.049763 b
659430 eV ; 2.8314 b ; 0.048720 b
659690 eV ; 2.3130 b ; 0.030000 b
660270 eV ; 1.9083 b ; 0.019810 b
661090 eV ; 1.6939 b ; 0.019431 b
661900 eV ; 1.7799 b ; 0.019668 b
662490 eV ; 2.3429 b ; 0.029668 b
662860 eV ; 3.2322 b ; 0.031232 b
663120 eV ; 4.5184 b ; 0.054171 b
663270 eV ; 5.7043 b ; 0.059526 b
663420 eV ; 7.1993 b ; 0.067299 b
663570 eV ; 8.8124 b ; 0.077062 b
663720 eV ; 9.1317 b ; 0.078246 b
663870 eV ; 8.8767 b ; 0.075213 b
664010 eV ; 7.6944 b ; 0.067867 b
664160 eV ; 7.0835 b ; 0.065118 b
664310 eV ; 6.8602 b ; 0.063934 b
664460 eV ; 6.7423 b ; 0.063223 b
664610 eV ; 6.0636 b ; 0.060047 b
664760 eV ; 5.0446 b ; 0.056446 b
664910 eV ; 4.1066 b ; 0.052986 b
665060 eV ; 3.4581 b ; 0.051611 b
665240 eV ; 3.2837 b ; 0.042322 b
665470 eV ; 3.3270 b ; 0.042464 b
665690 eV ; 2.9053 b ; 0.040806 b
665950 eV ; 2.3577 b ; 0.033460 b
666250 eV ; 1.9683 b ; 0.032701 b
667150 eV ; 1.5862 b ; 0.014502 b
668650 eV ; 1.3049 b ; 0.014313 b
669550 eV ; 1.1493 b ; 0.032370 b
669850 eV ; 1.2022 b ; 0.032085 b
670150 eV ; 1.6264 b ; 0.032701 b
670340 eV ; 2.2454 b ; 0.068294 b
670420 eV ; 2.7486 b ; 0.070095 b
670490 eV ; 3.2338 b ; 0.072180 b
670570 eV ; 3.4748 b ; 0.074028 b
670640 eV ; 3.7697 b ; 0.076351 b
670760 eV ; 3.7577 b ; 0.054550 b
670910 eV ; 3.3330 b ; 0.053839 b
671060 eV ; 2.6192 b ; 0.051469 b
671210 eV ; 2.2575 b ; 0.049242 b
671360 eV ; 1.9686 b ; 0.047867 b
671510 eV ; 1.8823 b ; 0.047014 b
671960 eV ; 1.6196 b ; 0.020900 b
672720 eV ; 1.4878 b ; 0.021232 b
675000 eV ; 1.3436 b ; 0.0093365 b
678840 eV ; 1.2668 b ; 0.0090995 b
681140 eV ; 1.2733 b ; 0.020332 b
681600 eV ; 1.6156 b ; 0.045071 b
681760 eV ; 2.0157 b ; 0.045782 b
681910 eV ; 2.5022 b ; 0.046872 b
682070 eV ; 2.9160 b ; 0.048152 b
682220 eV ; 2.9122 b ; 0.048436 b
682380 eV ; 2.4725 b ; 0.047346 b
682530 eV ; 1.8394 b ; 0.045782 b
682690 eV ; 1.4276 b ; 0.044929 b
682960 eV ; 1.2363 b ; 0.028104 b
684060 eV ; 1.1930 b ; 0.013128 b
685140 eV ; 1.3629 b ; 0.038389 b
685370 eV ; 1.5133 b ; 0.037299 b
685600 eV ; 1.4157 b ; 0.036540 b
685840 eV ; 1.2622 b ; 0.036161 b
686150 eV ; 1.1825 b ; 0.027725 b
686660 eV ; 1.1804 b ; 0.021754 b
688540 eV ; 1.0982 b ; 0.0097156 b
691710 eV ; 1.0590 b ; 0.0094313 b
694780 eV ; 1.0360 b ; 0.010142 b
697070 eV ; 1.0140 b ; 0.015972 b
698260 eV ; 1.0746 b ; 0.015545 b
699060 eV ; 1.2988 b ; 0.027299 b
699460 eV ; 1.5437 b ; 0.027441 b
699860 eV ; 2.2991 b ; 0.028436 b
700140 eV ; 3.3703 b ; 0.048341 b
700300 eV ; 4.4660 b ; 0.051848 b
700470 eV ; 5.9112 b ; 0.057441 b
700630 eV ; 7.2020 b ; 0.063602 b
700790 eV ; 7.7248 b ; 0.065829 b
700950 eV ; 6.7662 b ; 0.060948 b
701110 eV ; 5.2950 b ; 0.054882 b
701270 eV ; 4.0716 b ; 0.050474 b
701430 eV ; 2.9762 b ; 0.047393 b
701590 eV ; 2.2505 b ; 0.045640 b
701760 eV ; 1.8217 b ; 0.044218 b
702120 eV ; 1.4146 b ; 0.022986 b
702690 eV ; 1.0614 b ; 0.022938 b
703370 eV ; 0.89535 b ; 0.018815 b
704190 eV ; 0.82008 b ; 0.018720 b
704670 eV ; 1.2046 b ; 0.042512 b
704840 eV ; 1.5717 b ; 0.043507 b
705000 eV ; 2.4884 b ; 0.045735 b
705160 eV ; 3.2392 b ; 0.048199 b
705320 eV ; 3.5348 b ; 0.049336 b
705490 eV ; 3.1634 b ; 0.049194 b
705650 eV ; 2.4296 b ; 0.047536 b
705810 eV ; 1.8615 b ; 0.046256 b
705980 eV ; 1.5789 b ; 0.045450 b
706140 eV ; 1.3422 b ; 0.045166 b
706430 eV ; 1.1557 b ; 0.028152 b
707450 eV ; 0.89249 b ; 0.013507 b
709090 eV ; 0.77462 b ; 0.013318 b
710030 eV ; 0.89224 b ; 0.034502 b
710270 eV ; 1.1913 b ; 0.035261 b
710520 eV ; 1.3165 b ; 0.035355 b
710770 eV ; 0.97471 b ; 0.034929 b
711020 eV ; 0.76504 b ; 0.034028 b
711470 eV ; 0.62804 b ; 0.020569 b
713020 eV ; 0.56218 b ; 0.010948 b
714700 eV ; 0.83695 b ; 0.019052 b
715520 eV ; 1.7160 b ; 0.020474 b
716110 eV ; 3.3062 b ; 0.035877 b
716440 eV ; 4.5930 b ; 0.040142 b
716780 eV ; 5.9505 b ; 0.045450 b
717110 eV ; 7.0792 b ; 0.048436 b
717440 eV ; 7.9825 b ; 0.050664 b
717780 eV ; 8.7847 b ; 0.053460 b
718110 eV ; 9.5330 b ; 0.057109 b
718450 eV ; 9.3353 b ; 0.056256 b
718780 eV ; 8.7811 b ; 0.052986 b
719280 eV ; 7.4397 b ; 0.032938 b
719950 eV ; 5.8025 b ; 0.029763 b
720620 eV ; 4.6852 b ; 0.027962 b
721300 eV ; 3.9138 b ; 0.026919 b
722490 eV ; 3.1478 b ; 0.015735 b
724160 eV ; 2.5592 b ; 0.015166 b
726670 eV ; 2.1118 b ; 0.010948 b
729290 eV ; 1.8500 b ; 0.014408 b
730260 eV ; 1.9206 b ; 0.035972 b
730520 eV ; 1.9922 b ; 0.035972 b
730780 eV ; 1.9225 b ; 0.036114 b
731030 eV ; 1.7890 b ; 0.036493 b
731290 eV ; 1.6949 b ; 0.037156 b
731860 eV ; 1.6816 b ; 0.019858 b
734200 eV ; 1.6131 b ; 0.0091943 b
738050 eV ; 1.4867 b ; 0.0093839 b
741830 eV ; 1.4095 b ; 0.0092417 b
743910 eV ; 1.3116 b ; 0.036019 b
744180 eV ; 1.4833 b ; 0.036398 b
744440 eV ; 1.5724 b ; 0.037109 b
744710 eV ; 1.5417 b ; 0.037393 b
744970 eV ; 1.3727 b ; 0.037820 b
745240 eV ; 1.3415 b ; 0.038104 b
745680 eV ; 1.3044 b ; 0.024645 b
747780 eV ; 1.2793 b ; 0.0099526 b
751380 eV ; 1.1524 b ; 0.0096209 b
753300 eV ; 0.98587 b ; 0.030664 b
753660 eV ; 1.1791 b ; 0.030853 b
753930 eV ; 1.8284 b ; 0.044882 b
754110 eV ; 2.6856 b ; 0.046825 b
754250 eV ; 3.4725 b ; 0.070284 b
754340 eV ; 4.0726 b ; 0.072417 b
754430 eV ; 4.7013 b ; 0.076445 b
754520 eV ; 4.9362 b ; 0.077773 b
754610 eV ; 4.9375 b ; 0.077820 b
754700 eV ; 4.5319 b ; 0.076303 b
754830 eV ; 3.8639 b ; 0.052607 b
755010 eV ; 3.0186 b ; 0.050664 b
755240 eV ; 2.2706 b ; 0.040711 b
755510 eV ; 1.8373 b ; 0.041374 b
755780 eV ; 1.5324 b ; 0.042038 b
756380 eV ; 1.4930 b ; 0.022227 b
756960 eV ; 1.5017 b ; 0.038436 b
757230 eV ; 1.6461 b ; 0.038246 b
757500 eV ; 1.7529 b ; 0.038436 b
757770 eV ; 1.7387 b ; 0.038009 b
758040 eV ; 1.3767 b ; 0.037204 b
758310 eV ; 1.2869 b ; 0.036588 b
758910 eV ; 1.1966 b ; 0.019668 b
759810 eV ; 1.1202 b ; 0.019194 b
760410 eV ; 1.2413 b ; 0.035403 b
760630 eV ; 1.6071 b ; 0.044171 b
760820 eV ; 2.1804 b ; 0.044834 b
761000 eV ; 2.5946 b ; 0.045735 b
761230 eV ; 2.7583 b ; 0.037630 b
761500 eV ; 2.5192 b ; 0.036730 b
761770 eV ; 2.0163 b ; 0.036019 b
762050 eV ; 1.7163 b ; 0.035735 b
762420 eV ; 1.5530 b ; 0.027109 b
763100 eV ; 1.4381 b ; 0.018957 b
765770 eV ; 1.2508 b ; 0.0086256 b
770140 eV ; 1.0517 b ; 0.0085308 b
772720 eV ; 0.89729 b ; 0.024313 b
773280 eV ; 1.1848 b ; 0.024882 b
773650 eV ; 1.7816 b ; 0.043886 b
773840 eV ; 2.3324 b ; 0.044787 b
774030 eV ; 2.9390 b ; 0.045972 b
774210 eV ; 3.4327 b ; 0.047488 b
774400 eV ; 3.7197 b ; 0.048673 b
774630 eV ; 3.7248 b ; 0.040000 b
774910 eV ; 3.1728 b ; 0.039052 b
775200 eV ; 2.9226 b ; 0.038341 b
775480 eV ; 2.6167 b ; 0.038152 b
775760 eV ; 2.6972 b ; 0.038341 b
776040 eV ; 2.4404 b ; 0.038009 b
776320 eV ; 2.0253 b ; 0.037251 b
776600 eV ; 1.7757 b ; 0.036493 b
777210 eV ; 1.6374 b ; 0.019905 b
778840 eV ; 1.4132 b ; 0.012559 b
780440 eV ; 1.4222 b ; 0.022322 b
780900 eV ; 1.8177 b ; 0.043791 b
781090 eV ; 2.2256 b ; 0.044455 b
781280 eV ; 2.7074 b ; 0.045498 b
781470 eV ; 2.8856 b ; 0.046114 b
781660 eV ; 2.4043 b ; 0.045308 b
781850 eV ; 1.9638 b ; 0.044313 b
782090 eV ; 1.4924 b ; 0.035972 b
782370 eV ; 1.1070 b ; 0.036398 b
782660 eV ; 1.1480 b ; 0.036209 b
782900 eV ; 1.4397 b ; 0.044218 b
783090 eV ; 2.0887 b ; 0.044408 b
783280 eV ; 2.6753 b ; 0.045355 b
783470 eV ; 2.9128 b ; 0.045592 b
783710 eV ; 2.6176 b ; 0.036682 b
783990 eV ; 2.0269 b ; 0.035403 b
784280 eV ; 1.6588 b ; 0.034929 b
784560 eV ; 1.5495 b ; 0.035308 b
784850 eV ; 1.3889 b ; 0.035403 b
785140 eV ; 1.4493 b ; 0.035782 b
785430 eV ; 1.5249 b ; 0.035877 b
785710 eV ; 1.5086 b ; 0.036209 b
786000 eV ; 1.3431 b ; 0.036351 b
786290 eV ; 1.2828 b ; 0.036066 b
786570 eV ; 1.2052 b ; 0.036114 b
786860 eV ; 1.3422 b ; 0.036445 b
787150 eV ; 1.7665 b ; 0.037062 b
787440 eV ; 2.0637 b ; 0.038436 b
787720 eV ; 1.9749 b ; 0.039242 b
788010 eV ; 1.7060 b ; 0.039621 b
788300 eV ; 1.4902 b ; 0.040569 b
788590 eV ; 1.3531 b ; 0.041327 b
789240 eV ; 1.3345 b ; 0.021090 b
790180 eV ; 1.2362 b ; 0.019621 b
793570 eV ; 1.1723 b ; 0.0076777 b
799390 eV ; 1.0571 b ; 0.0075355 b
805380 eV ; 0.88939 b ; 0.0076777 b
808840 eV ; 0.78766 b ; 0.018531 b
809440 eV ; 0.86827 b ; 0.041659 b
809640 eV ; 0.91497 b ; 0.042227 b
809850 eV ; 1.1976 b ; 0.042701 b
810050 eV ; 1.3072 b ; 0.042749 b
810250 eV ; 1.0693 b ; 0.042370 b
810450 eV ; 0.85195 b ; 0.041848 b
810650 eV ; 0.80019 b ; 0.041185 b
810850 eV ; 0.67446 b ; 0.040900 b
811450 eV ; 0.64481 b ; 0.018152 b
812460 eV ; 0.60057 b ; 0.018246 b
813160 eV ; 0.54847 b ; 0.028578 b
813510 eV ; 0.84465 b ; 0.033460 b
813810 eV ; 1.4908 b ; 0.034882 b
814020 eV ; 2.1882 b ; 0.063175 b
814120 eV ; 2.7486 b ; 0.065450 b
814220 eV ; 3.1861 b ; 0.067109 b
814320 eV ; 3.6951 b ; 0.069763 b
814420 eV ; 4.1957 b ; 0.071232 b
814520 eV ; 4.3849 b ; 0.071469 b
814670 eV ; 4.2302 b ; 0.049953 b
814880 eV ; 3.9635 b ; 0.048578 b
815080 eV ; 3.4480 b ; 0.047204 b
815380 eV ; 3.2949 b ; 0.032891 b
815780 eV ; 3.4231 b ; 0.034313 b
816090 eV ; 3.8331 b ; 0.050474 b
816290 eV ; 4.3597 b ; 0.052275 b
816500 eV ; 4.9443 b ; 0.053981 b
816700 eV ; 5.7867 b ; 0.057014 b
816900 eV ; 6.7035 b ; 0.059668 b
817100 eV ; 7.3034 b ; 0.061374 b
817310 eV ; 6.8547 b ; 0.059194 b
817510 eV ; 5.9393 b ; 0.054787 b
817710 eV ; 5.0634 b ; 0.051754 b
817920 eV ; 4.5029 b ; 0.050095 b
818120 eV ; 4.1751 b ; 0.049336 b
818320 eV ; 4.1084 b ; 0.049005 b
818530 eV ; 3.7901 b ; 0.048863 b
819040 eV ; 3.4430 b ; 0.023744 b
820630 eV ; 2.6364 b ; 0.013081 b
822980 eV ; 2.0552 b ; 0.012417 b
825310 eV ; 1.7635 b ; 0.012370 b
827040 eV ; 1.5744 b ; 0.019005 b
828070 eV ; 1.6568 b ; 0.020190 b
828700 eV ; 2.0901 b ; 0.045877 b
828900 eV ; 2.4989 b ; 0.045450 b
829110 eV ; 2.7159 b ; 0.045261 b
829320 eV ; 2.5796 b ; 0.043981 b
829530 eV ; 2.1551 b ; 0.042654 b
829730 eV ; 1.7731 b ; 0.041659 b
829940 eV ; 1.7105 b ; 0.041185 b
830150 eV ; 1.7836 b ; 0.041706 b
830360 eV ; 2.2117 b ; 0.042464 b
830560 eV ; 2.5727 b ; 0.043412 b
830770 eV ; 2.7683 b ; 0.043744 b
830980 eV ; 2.5370 b ; 0.043223 b
831190 eV ; 2.3724 b ; 0.042133 b
831400 eV ; 2.1328 b ; 0.041469 b
831610 eV ; 1.8605 b ; 0.041232 b
831810 eV ; 1.8433 b ; 0.041090 b
832180 eV ; 1.7597 b ; 0.025972 b
833730 eV ; 1.4836 b ; 0.011611 b
836420 eV ; 1.3588 b ; 0.011706 b
837890 eV ; 1.2689 b ; 0.028957 b
838320 eV ; 1.4729 b ; 0.029052 b
838740 eV ; 1.5227 b ; 0.029052 b
839160 eV ; 1.4056 b ; 0.029005 b
839580 eV ; 1.2479 b ; 0.029052 b
840640 eV ; 1.2151 b ; 0.014408 b
842340 eV ; 1.2181 b ; 0.014313 b
843350 eV ; 1.2640 b ; 0.033223 b
843670 eV ; 1.5816 b ; 0.033839 b
843990 eV ; 1.7898 b ; 0.034550 b
844310 eV ; 1.6447 b ; 0.035166 b
844620 eV ; 1.2777 b ; 0.036114 b
844950 eV ; 1.1095 b ; 0.036825 b
845380 eV ; 1.1297 b ; 0.028009 b
847690 eV ; 1.0745 b ; 0.0092891 b
851800 eV ; 0.96995 b ; 0.0092417 b
854360 eV ; 0.98315 b ; 0.017441 b
855450 eV ; 1.1443 b ; 0.017867 b
856100 eV ; 1.4864 b ; 0.041469 b
856320 eV ; 1.9025 b ; 0.042133 b
856540 eV ; 2.1255 b ; 0.042559 b
856760 eV ; 2.1917 b ; 0.042701 b
856970 eV ; 2.0138 b ; 0.042512 b
857190 eV ; 1.9362 b ; 0.042512 b
857410 eV ; 2.0694 b ; 0.042749 b
857680 eV ; 2.2373 b ; 0.035308 b
858010 eV ; 2.6485 b ; 0.036398 b
858340 eV ; 3.0174 b ; 0.037156 b
858670 eV ; 3.4298 b ; 0.038009 b
858990 eV ; 3.7850 b ; 0.038436 b
859320 eV ; 3.7587 b ; 0.038389 b
859650 eV ; 3.6320 b ; 0.038057 b
859980 eV ; 3.3791 b ; 0.037583 b
860310 eV ; 3.2683 b ; 0.037014 b
860640 eV ; 3.4523 b ; 0.037109 b
860910 eV ; 3.9556 b ; 0.046777 b
861130 eV ; 4.5185 b ; 0.048910 b
861350 eV ; 4.8064 b ; 0.049858 b
861570 eV ; 4.5479 b ; 0.049668 b
861790 eV ; 3.9991 b ; 0.047962 b
862010 eV ; 3.3427 b ; 0.046209 b
862230 eV ; 2.9621 b ; 0.045261 b
862450 eV ; 2.6937 b ; 0.044265 b
862670 eV ; 2.5158 b ; 0.043649 b
863330 eV ; 2.1557 b ; 0.019147 b
864970 eV ; 1.7090 b ; 0.014171 b
867230 eV ; 1.3829 b ; 0.013223 b
869420 eV ; 1.1519 b ; 0.012938 b
870710 eV ; 1.2096 b ; 0.033839 b
871040 eV ; 1.2809 b ; 0.033981 b
871380 eV ; 1.1731 b ; 0.034076 b
871720 eV ; 1.2287 b ; 0.034455 b
872050 eV ; 1.5682 b ; 0.035355 b
872390 eV ; 1.8743 b ; 0.036256 b
872720 eV ; 1.7900 b ; 0.036114 b
873060 eV ; 1.8655 b ; 0.036066 b
873400 eV ; 2.6425 b ; 0.037062 b
873620 eV ; 3.3905 b ; 0.067062 b
873730 eV ; 4.1099 b ; 0.068815 b
873850 eV ; 4.5676 b ; 0.071280 b
873960 eV ; 5.1259 b ; 0.074218 b
874070 eV ; 5.6042 b ; 0.077488 b
874180 eV ; 6.1413 b ; 0.080900 b
874290 eV ; 6.5863 b ; 0.084123 b
874410 eV ; 6.9144 b ; 0.086019 b
874520 eV ; 6.9223 b ; 0.086303 b
874690 eV ; 6.5624 b ; 0.059479 b
874910 eV ; 5.7148 b ; 0.055592 b
875140 eV ; 4.8380 b ; 0.051754 b
875360 eV ; 4.0880 b ; 0.049100 b
875700 eV ; 3.3990 b ; 0.032938 b
876150 eV ; 2.8645 b ; 0.031611 b
876600 eV ; 2.4680 b ; 0.030948 b
877050 eV ; 2.4378 b ; 0.030900 b
877390 eV ; 2.8378 b ; 0.044929 b
877620 eV ; 3.2116 b ; 0.045924 b
877840 eV ; 3.5566 b ; 0.046682 b
878070 eV ; 3.5926 b ; 0.046540 b
878300 eV ; 3.3575 b ; 0.045877 b
878520 eV ; 2.8773 b ; 0.045308 b
878750 eV ; 2.6235 b ; 0.044692 b
878970 eV ; 2.4403 b ; 0.044218 b
879490 eV ; 2.2390 b ; 0.022891 b
880560 eV ; 2.0416 b ; 0.017251 b
881930 eV ; 1.9929 b ; 0.017204 b
882720 eV ; 2.1757 b ; 0.043318 b
882950 eV ; 2.6505 b ; 0.044360 b
883180 eV ; 3.1493 b ; 0.045924 b
883410 eV ; 3.9047 b ; 0.048341 b
883640 eV ; 4.2452 b ; 0.049147 b
883870 eV ; 3.6688 b ; 0.047820 b
884090 eV ; 2.9095 b ; 0.045829 b
884320 eV ; 2.2526 b ; 0.044123 b
884550 eV ; 1.9262 b ; 0.043365 b
884780 eV ; 1.7111 b ; 0.042844 b
885470 eV ; 1.5539 b ; 0.018720 b
886620 eV ; 1.4211 b ; 0.018483 b
887410 eV ; 1.4062 b ; 0.029479 b
887880 eV ; 1.4325 b ; 0.029621 b
888340 eV ; 1.3114 b ; 0.029289 b
888800 eV ; 1.2674 b ; 0.029147 b
889260 eV ; 1.3509 b ; 0.029336 b
889720 eV ; 1.5329 b ; 0.029810 b
890180 eV ; 1.7228 b ; 0.030237 b
890640 eV ; 1.5599 b ; 0.029810 b
891100 eV ; 1.3814 b ; 0.029431 b
891920 eV ; 1.2895 b ; 0.018294 b
893900 eV ; 1.1777 b ; 0.011659 b
896680 eV ; 0.92890 b ; 0.011564 b
898310 eV ; 0.70597 b ; 0.027962 b
898780 eV ; 0.77207 b ; 0.028104 b
899250 eV ; 1.1753 b ; 0.029526 b
899540 eV ; 1.8016 b ; 0.062085 b
899660 eV ; 2.3496 b ; 0.063981 b
899780 eV ; 2.9095 b ; 0.066019 b
899900 eV ; 3.3470 b ; 0.068152 b
900010 eV ; 3.8728 b ; 0.070900 b
900130 eV ; 4.4606 b ; 0.072370 b
900250 eV ; 5.0663 b ; 0.075450 b
900370 eV ; 5.1516 b ; 0.076398 b
900540 eV ; 5.2685 b ; 0.054123 b
900780 eV ; 4.8582 b ; 0.053128 b
901010 eV ; 4.3251 b ; 0.051517 b
901250 eV ; 3.6305 b ; 0.049716 b
901480 eV ; 3.1451 b ; 0.048246 b
901720 eV ; 2.9796 b ; 0.046682 b
902130 eV ; 2.5442 b ; 0.028720 b
902720 eV ; 2.2428 b ; 0.027962 b
903310 eV ; 1.9448 b ; 0.027109 b
904190 eV ; 1.7940 b ; 0.018910 b
905380 eV ; 1.6540 b ; 0.018768 b
906560 eV ; 1.5234 b ; 0.018436 b
907270 eV ; 1.6379 b ; 0.041848 b
907510 eV ; 1.7402 b ; 0.042322 b
907750 eV ; 1.9351 b ; 0.042559 b
907990 eV ; 1.9424 b ; 0.042844 b
908220 eV ; 1.6744 b ; 0.042986 b
908460 eV ; 1.5010 b ; 0.042796 b
908940 eV ; 1.2808 b ; 0.024455 b
909650 eV ; 1.1845 b ; 0.023934 b
910370 eV ; 1.4320 b ; 0.024265 b
910850 eV ; 2.0083 b ; 0.043033 b
911090 eV ; 2.2158 b ; 0.043791 b
911320 eV ; 2.7567 b ; 0.044645 b
911560 eV ; 3.3295 b ; 0.046066 b
911800 eV ; 3.8285 b ; 0.047583 b
912040 eV ; 4.0179 b ; 0.048246 b
912280 eV ; 3.8910 b ; 0.047820 b
912520 eV ; 3.4836 b ; 0.046446 b
912760 eV ; 3.0392 b ; 0.044834 b
913000 eV ; 2.8373 b ; 0.043934 b
913480 eV ; 2.3757 b ; 0.024550 b
914200 eV ; 2.0164 b ; 0.024455 b
915150 eV ; 1.8562 b ; 0.018910 b
916680 eV ; 1.6708 b ; 0.015166 b
917820 eV ; 1.6085 b ; 0.028720 b
918300 eV ; 1.7299 b ; 0.028815 b
918780 eV ; 1.6718 b ; 0.029336 b
919260 eV ; 1.5891 b ; 0.030047 b
919750 eV ; 1.6032 b ; 0.031043 b
920610 eV ; 1.6082 b ; 0.019479 b
921510 eV ; 1.7189 b ; 0.027156 b
921940 eV ; 2.1337 b ; 0.043507 b
922180 eV ; 2.5387 b ; 0.044360 b
922420 eV ; 2.9721 b ; 0.045166 b
922670 eV ; 2.9472 b ; 0.045498 b
922910 eV ; 2.5834 b ; 0.044123 b
923160 eV ; 2.1092 b ; 0.042749 b
923400 eV ; 1.7864 b ; 0.041848 b
923640 eV ; 1.6010 b ; 0.041327 b
924070 eV ; 1.4534 b ; 0.025972 b
924980 eV ; 1.3952 b ; 0.018531 b
925840 eV ; 1.4557 b ; 0.029668 b
926330 eV ; 1.7847 b ; 0.030095 b
926830 eV ; 1.9146 b ; 0.030000 b
927310 eV ; 1.5445 b ; 0.029052 b
927800 eV ; 1.2956 b ; 0.028578 b
928300 eV ; 1.2711 b ; 0.028626 b
928790 eV ; 1.2584 b ; 0.028626 b
929280 eV ; 1.4531 b ; 0.028720 b
929770 eV ; 1.8706 b ; 0.029289 b
930270 eV ; 1.8963 b ; 0.029289 b
930760 eV ; 1.6873 b ; 0.028720 b
931250 eV ; 1.5122 b ; 0.028673 b
931750 eV ; 1.5328 b ; 0.028720 b
933520 eV ; 1.5604 b ; 0.011896 b
935530 eV ; 1.8372 b ; 0.022464 b
936400 eV ; 2.3214 b ; 0.022417 b
936960 eV ; 3.1407 b ; 0.043460 b
937210 eV ; 3.9123 b ; 0.045261 b
937460 eV ; 4.9327 b ; 0.048341 b
937710 eV ; 6.0742 b ; 0.052464 b
937960 eV ; 6.7240 b ; 0.055450 b
