energy;cx;cx_err
103220 eV ; 1.7751 b ; 0.014408 b
104670 eV ; 1.6488 b ; 0.013365 b
105510 eV ; 1.6223 b ; 0.038009 b
105620 eV ; 1.5468 b ; 0.082512 b
105660 eV ; 1.9043 b ; 0.084455 b
105700 eV ; 2.1085 b ; 0.092417 b
105740 eV ; 1.8052 b ; 0.091280 b
105770 eV ; 1.7063 b ; 0.088009 b
105810 eV ; 1.4806 b ; 0.088389 b
105850 eV ; 1.7003 b ; 0.087962 b
106060 eV ; 1.5739 b ; 0.027014 b
107210 eV ; 1.5189 b ; 0.011374 b
109190 eV ; 1.4288 b ; 0.011564 b
111120 eV ; 1.3577 b ; 0.011469 b
113340 eV ; 1.3307 b ; 0.010900 b
114550 eV ; 1.5304 b ; 0.020711 b
115070 eV ; 2.0767 b ; 0.021137 b
115420 eV ; 3.2996 b ; 0.040948 b
115580 eV ; 4.8292 b ; 0.044834 b
115680 eV ; 6.5379 b ; 0.078246 b
115740 eV ; 8.1018 b ; 0.091090 b
115790 eV ; 10.216 b ; 0.11531 b
115850 eV ; 12.258 b ; 0.14322 b
115900 eV ; 15.463 b ; 0.20024 b
115960 eV ; 18.967 b ; 0.28412 b
116010 eV ; 21.658 b ; 0.40014 b
116060 eV ; 23.142 b ; 0.52915 b
116120 eV ; 20.327 b ; 0.36768 b
116170 eV ; 18.537 b ; 0.26716 b
116230 eV ; 15.065 b ; 0.17938 b
116280 eV ; 12.309 b ; 0.13370 b
116340 eV ; 10.194 b ; 0.10834 b
116390 eV ; 8.5465 b ; 0.10104 b
116440 eV ; 6.9230 b ; 0.093791 b
116500 eV ; 6.1158 b ; 0.082559 b
116550 eV ; 5.3580 b ; 0.075782 b
116690 eV ; 4.0273 b ; 0.034882 b
116910 eV ; 2.9287 b ; 0.032749 b
117130 eV ; 2.3508 b ; 0.032133 b
117610 eV ; 1.8339 b ; 0.016967 b
118580 eV ; 1.4435 b ; 0.014171 b
120470 eV ; 1.2032 b ; 0.0093839 b
123150 eV ; 1.0790 b ; 0.0092417 b
125860 eV ; 0.99909 b ; 0.0081991 b
128540 eV ; 0.92306 b ; 0.0083412 b
131730 eV ; 0.85972 b ; 0.0085308 b
134610 eV ; 0.79935 b ; 0.0076303 b
137710 eV ; 0.73071 b ; 0.0079147 b
140880 eV ; 0.64249 b ; 0.011090 b
144440 eV ; 0.57124 b ; 0.0098104 b
147890 eV ; 0.49545 b ; 0.0088626 b
149700 eV ; 0.43749 b ; 0.041374 b
149790 eV ; 0.72748 b ; 0.086967 b
149830 eV ; 1.1653 b ; 0.089052 b
149860 eV ; 2.0037 b ; 0.094265 b
149890 eV ; 2.8816 b ; 0.10090 b
