eventID,numPE,numPhotons,eDep,numElasticSensitive,numInelastic,nCapture,
904,17,118,144.939,6,2,0,
905,206,1527,0,0,1,0,
906,1276,8325,1936.9,23,2,0,
907,1898,12014,399.385,5,3,0,
908,394,2565,659.926,19,2,0,
909,1402,9051,0,0,1,0,
910,96,591,116.759,4,1,0,
911,668,4338,71.8222,1,1,0,
912,217,1478,1001.96,18,1,0,
913,353,2139,339.456,18,1,0,
914,167,1077,1397.24,26,1,0,
915,57,373,1228.41,23,1,0,
916,1312,8597,276.101,3,2,0,
917,285,1898,489.506,9,2,0,
918,207,1415,654.65,27,1,0,
919,110,668,406.064,3,1,0,
920,118,510,1456.55,41,1,0,
921,1228,7992,0,0,1,0,
922,324,1715,2214.74,81,1,0,
923,1978,12009,2012.65,51,2,0,
924,2256,13017,89.2198,4,3,0,
925,2194,12399,894.49,24,2,0,
926,2001,12392,655.367,18,4,0,
927,1759,11624,143.241,6,2,0,
928,426,2685,1380.27,79,1,0,
929,1205,7345,396.669,6,3,0,
930,940,6328,0,0,1,0,
931,1083,7223,148.53,1,2,0,
932,463,2830,1049.7,39,1,0,
933,201,1287,2178.59,75,1,0,
934,468,2747,742.785,50,1,0,
935,259,1687,2078.56,47,1,0,
936,442,2526,634.218,43,2,0,
937,429,2602,810.561,30,1,0,
938,318,1936,1610.52,52,1,0,
939,326,1825,1012.33,32,2,0,
940,544,3459,65.1001,17,2,0,
941,57,407,85.6723,3,1,0,
942,429,2838,1264.27,44,1,0,
943,333,1892,362.387,8,2,0,
944,68,438,359.403,3,1,0,
945,1804,11450,54.6929,5,3,0,
946,1985,11702,1112.91,18,2,0,
947,553,3593,6.53197,1,2,0,
948,1978,12287,925.756,26,2,0,
949,1703,11427,316.174,9,2,0,
950,80,593,288.751,6,1,0,
951,2226,12689,514.031,25,3,0,
952,2176,12777,411.996,15,2,0,
953,2371,12712,913.794,53,2,0,
954,345,2050,1481.84,34,1,0,
955,3070,10849,1380.96,51,2,1,
956,332,2266,295.166,8,1,0,
957,1408,8871,23.5855,1,1,0,
958,300,1975,308.948,7,2,0,
959,322,1900,36.4045,2,1,0,
960,281,1884,455.914,8,2,0,
961,82,546,43.5031,12,1,0,
962,1911,12437,354.818,12,3,0,
963,2023,11652,1295.42,43,4,0,
964,357,2282,672.183,51,2,0,
965,459,2629,1024.3,29,2,0,
966,2267,13362,837.692,20,3,0,
967,381,2338,1165.21,40,2,0,
968,1797,11114,1105.48,18,2,0,
969,1916,12191,138.264,3,3,0,
970,219,1223,1413.39,40,2,0,
971,2230,12515,510.92,11,2,0,
972,1896,11986,565.655,20,3,0,
973,349,1979,1825.53,71,1,0,
974,2083,12169,955.286,39,3,0,
975,367,2265,1797.08,59,2,0,
976,2204,13323,133.053,29,2,0,
977,364,2192,1850.91,82,1,0,
978,2464,13188,633.217,18,3,0,
979,377,2440,1270.53,37,1,0,
980,265,1698,327.071,5,2,0,
981,2000,11612,1203.58,20,3,0,
982,1940,12570,157.762,2,3,0,
983,184,999,2640.21,67,1,0,
984,65,493,1192.24,18,1,0,
985,392,2479,421.718,9,1,0,
986,367,2294,1506.51,66,1,0,
987,1596,10767,0,0,2,0,
988,1906,11402,988.346,23,2,0,
989,356,2349,1222.02,46,1,0,
990,2252,13237,636.646,30,2,0,
991,1906,11917,1329.18,20,2,0,
992,1729,11698,632.101,11,3,0,
993,258,1594,201.408,16,1,0,
994,1850,11867,0,0,2,0,
995,1714,10748,979.344,7,1,0,
996,374,2362,1140.58,19,2,0,
997,721,4510,138.985,6,2,1,
998,296,1900,232.871,14,1,0,
999,104,645,866.033,21,1,0,
1000,1847,11428,158.068,4,2,0,
1001,2053,12315,1177.57,33,2,0,
1002,111,738,119.611,6,1,0,
1003,214,1271,1716.55,29,1,0,
1004,48,399,117.707,4,1,0,
1005,1918,12276,394.267,14,2,0,
1006,431,2392,294.071,9,1,0,
1007,2238,13360,294.264,10,2,0,
1008,419,2681,975.377,31,2,0,
1009,331,1767,1685.52,61,1,0,
1010,423,2608,863.64,37,1,0,
1011,71,403,1389.91,21,1,0,
1012,355,2146,536.77,21,1,0,
1013,2166,12958,891.734,27,2,1,
1014,56,355,637.54,9,1,0,
1015,1663,10336,275.507,12,2,0,
1016,1961,12287,904.563,21,2,0,
1017,442,2358,1801.69,78,2,0,
1018,2125,10696,1154.9,18,2,0,
1019,1520,9651,1136.93,34,3,0,
1020,279,1575,1700.88,30,1,0,
1021,2137,12904,1153.97,38,3,0,
1022,290,1742,431.974,22,2,0,
1023,429,2635,128.604,5,1,0,
1024,1980,12140,761.097,12,2,0,
1025,460,2474,1722.98,100,2,0,
1026,39,281,0,0,1,0,
1027,66,459,135.722,4,1,0,
1028,1930,11061,692.131,9,2,0,
1029,409,2671,144.209,8,1,0,
1030,387,2385,777.687,31,1,0,
1031,891,6034,15.1653,1,2,0,
1032,1998,11686,130.771,7,2,0,
1033,1310,8230,197.372,8,3,0,
1034,2199,13029,520.774,29,4,0,
1035,1697,10454,463.313,7,3,0,
1036,1106,6961,538.724,12,3,0,
1037,401,2368,2071.11,66,2,0,
1038,977,6052,27.0216,1,2,0,
1039,1355,8477,66.0036,4,2,0,
