numPhotons,numUp,numDown,eDep,
5448,72,109,40.7908,
5585,38,21,0,
5413,28,13,0,
0,0,0,0,
5495,388,304,122,
0,0,0,0,
5312,0,0,0,
5596,410,294,122,
5740,318,349,122,
5602,0,0,0,
0,0,0,0,
5686,0,0,0,
0,0,0,0,
5458,318,371,122,
5717,355,315,122,
5682,338,360,122,
5043,182,54,40.118,
5537,0,0,0,
643,5,12,3.88973,
5693,0,0,0,
5784,0,0,0,
5442,52,35,0,
5286,19,32,0,
5678,0,0,0,
1788,128,84,42.908,
5832,0,0,0,
1412,0,0,0,
5831,410,350,122,
5457,79,104,32.8306,
1178,0,0,0,
5650,0,0,0,
5452,0,0,0,
1422,0,0,0,
5550,348,338,122,
5568,20,11,0.136557,
1481,0,0,0,
397,0,0,0,
5236,9,3,0,
1570,0,0,0,
1340,0,0,0,
5137,393,234,122,
1587,101,96,35.5846,
5489,0,0,0,
0,0,0,0,
5033,270,345,121.148,
5517,136,104,38.247,
561,0,0,0,
5348,0,0,0,
5536,106,124,36.3731,
1001,0,0,0,
1498,0,0,0,
1084,61,57,25.8587,
5344,26,31,0,
5851,330,385,122,
5292,87,82,32.8964,
5374,74,100,0,
5078,5,3,0,
595,44,9,12.2877,
5814,353,339,122,
721,1,0,0,
3990,262,123,69.7215,
5341,69,94,0,
0,0,0,0,
4596,131,275,19.9458,
5867,349,355,122,
5513,122,111,31.2298,
5719,495,221,122,
5661,496,216,122,
665,0,0,0,
0,0,0,0,
0,0,0,0,
5773,31,30,9.61756,
0,0,0,0,
5817,0,0,0,
5218,183,457,116.25,
2001,17,16,4.39075,
5523,21,36,0,
1411,0,0,0,
5517,104,93,28.1432,
1430,0,0,0,
885,0,0,0,
5795,0,0,0,
5216,0,0,0,
5130,101,152,33.8838,
1690,64,96,33.6654,
4772,8,2,0,
2436,0,0,0,
807,0,0,0,
5666,406,298,122,
0,0,0,0,
2255,149,57,35.9602,
5775,370,354,122,
5639,42,39,13.2638,
1752,0,0,0,
5780,0,0,0,
0,0,0,0,
1613,0,0,0,
5301,455,190,117.699,
3890,0,0,0,
4984,97,123,40.4643,
19,1,5,0.881273,
5310,321,352,122,
5551,241,398,122,
5368,99,110,36.167,
5880,335,365,122,
5380,146,133,21.1092,
5715,0,0,0,
1051,63,68,27.3614,
5381,0,0,0,
5636,0,0,0,
5738,0,0,0,
5809,342,350,122,
