eventID,numReachedDown,numReachedUp,numPE,
677,0,0,0,
678,0,0,0,
679,0,0,0,
680,861,1389,2250,
681,0,0,0,
682,0,0,0,
683,3289,1995,5284,
684,0,0,0,
685,0,0,0,
686,1261,604,1865,
687,1241,1522,2763,
688,0,0,0,
689,0,0,0,
690,0,0,0,
691,0,0,0,
692,959,842,1801,
693,0,0,0,
694,1831,1032,2863,
695,0,0,0,
696,0,0,0,
697,0,0,0,
698,0,0,0,
699,0,0,0,
700,0,0,0,
701,0,0,0,
702,0,0,0,
703,490,380,870,
704,0,0,0,
705,895,647,1542,
706,0,0,0,
707,494,475,969,
708,0,0,0,
709,1434,1528,2962,
710,618,951,1569,
711,2433,1141,3574,
712,786,1010,1796,
713,4836,4872,9708,
714,0,0,0,
715,0,0,0,
716,0,0,0,
717,233,234,467,
718,543,832,1375,
719,0,0,0,
720,0,0,0,
721,0,0,0,
722,6793,4200,10993,
723,0,0,0,
724,0,0,0,
725,1675,2768,4443,
726,0,0,0,
727,2013,937,2950,
728,1392,928,2320,
729,0,0,0,
730,3144,6013,9157,
731,2910,6175,9085,
732,0,0,0,
733,0,0,0,
734,3518,5793,9311,
735,0,0,0,
736,0,0,0,
737,0,0,0,
738,1198,1274,2472,
739,0,0,0,
740,0,0,0,
741,1125,1263,2388,
742,0,0,0,
743,0,0,0,
744,1663,2758,4421,
745,0,0,0,
746,0,0,0,
747,0,0,0,
748,0,0,0,
749,0,0,0,
750,1115,2606,3721,
751,6166,2870,9036,
752,0,0,0,
753,1923,1974,3897,
754,0,0,0,
755,2307,2535,4842,
756,0,0,0,
757,2919,3641,6560,
758,646,541,1187,
759,0,0,0,
760,0,0,0,
761,850,2366,3216,
762,0,0,0,
763,0,0,0,
764,0,0,0,
765,0,0,0,
766,0,0,0,
767,1133,1006,2139,
768,1998,1927,3925,
769,0,0,0,
770,0,0,0,
771,0,0,0,
772,0,0,0,
773,0,0,0,
774,0,0,0,
775,0,0,0,
776,12,63,75,
777,3498,1488,4986,
778,0,0,0,
779,0,0,0,
780,0,0,0,
781,0,0,0,
782,0,0,0,
783,415,623,1038,
784,2320,2961,5281,
785,0,0,0,
786,3252,5949,9201,
787,0,0,0,
788,0,0,0,
789,391,1194,1585,
