eventID,ArRecoil,gammas,inelasticRecoilTransfer,
17443,0.707027,4.37878,0.205798,
17444,0.284931,4.84691,0.114913,
17445,0.253334,4.66801,0.317625,
17446,0.969991,4.07746,0.191955,
17447,1.29966,3.68584,0.253361,
17448,0.770924,4.41744,0.0566376,
17449,1.03422,3.98609,0.218679,
17450,0.721296,4.3538,0.164542,
17451,1.05338,3.98225,0.211483,
17452,0.957917,4.0893,0.197668,
17453,0.807297,4.30277,0.128706,
17454,0.20152,4.96847,0.13,
17455,0.98804,3.98382,0.272462,
17456,0.511898,4.37747,0.35181,
17457,0.399577,4.3869,0.461051,
17458,0.709735,4.3325,0.206444,
17459,1.62554,3.51483,0.0970956,
17460,1.5024,3.51483,0.222901,
17461,2.0749,2.92368,0.301411,
17462,1.26078,3.92112,0.0579111,
17463,0.61123,4.56223,0.0733286,
17464,0.747533,3.98136,0.511009,
17465,2.02389,2.92156,0.299581,
17466,0.611101,4.42989,0.198993,
17467,1.46708,3.49735,0.284477,
17468,2.48987,2.51572,0.267733,
17469,0.653865,4.34752,0.277745,
17470,1.49224,3.68074,0.0978213,
17471,0.660116,3.98842,0.286885,
17472,1.76895,3.2076,0.296283,
17473,1.51445,3.50591,0.24008,
17474,1.94646,3.20529,0.087346,
17475,2.19813,2.92154,0.126256,
17476,0.802461,3.98544,0.512097,
17477,1.26533,3.58534,0.396057,
17478,1.04875,4.08728,0.163925,
17479,0.392833,4.7821,0.11528,
17480,1.0322,4.17621,0.0914056,
17481,1.74522,3.20581,0.296764,
17482,1.47916,3.67291,0.124372,
17483,2.45071,2.52934,0.265353,
17484,0.893459,4.22173,0.129339,
17485,2.01139,2.92586,0.296537,
17486,1.42511,3.5133,0.308126,
17487,2.43618,2.52727,0.300898,
17488,0.386968,4.38151,0.478089,
17489,0.973574,4.07292,0.199927,
17490,1.29489,3.5847,0.360344,
17491,1.00678,3.97947,0.255075,
17492,1.542,3.50797,0.189777,
17493,0.310695,4.75986,0.169927,
17494,0.948455,3.98929,0.307169,
17495,1.93434,3.20634,0.103922,
17496,0.78189,4.22554,0.239131,
17497,0.629192,4.55951,0.111286,
17498,1.1289,3.9182,0.197975,
17499,0.990021,3.97882,0.278794,
17500,1.90821,3.20644,0.131681,
17501,1.99193,3.20793,0.0361114,
17502,1.31927,3.91422,0.0665036,
17503,0.854295,3.97795,0.405061,
17504,0.487562,4.64557,0.113629,
17505,1.53504,3.51346,0.251481,
17506,0.569503,4.45158,0.219004,
17507,0.995472,4.17831,0.0638767,
17508,2.35803,2.51909,0.360689,
17509,2.38909,2.52268,0.329566,
17510,0.322878,4.78479,0.139466,
17511,2.07275,2.9163,0.301452,
17512,1.46401,3.68074,0.101124,
17513,0.929498,3.97435,0.335739,
17514,0.550613,4.38238,0.348641,
17515,2.38844,2.52118,0.329356,
17516,2.62162,2.52861,0.149745,
17517,1.64352,3.51384,0.0836291,
17518,2.3398,2.89254,0.0164399,
17519,0.167456,4.97881,0.100331,
17520,0.463566,4.66377,0.115531,
17521,0.677112,4.42229,0.149797,
17522,0.565997,4.38481,0.286599,
17523,3.45763,1.45916,0.322561,
17524,0.864952,3.98095,0.392032,
17525,0.756615,4.42286,0.0651093,
17526,1.56577,3.51194,0.16763,
17527,0.31059,4.84265,0.0912413,
17528,1.94969,3.20793,0.0801875,
17529,1.48359,3.67782,0.0864132,
17530,1.924,3.20793,0.118632,
17531,0.8072,4.35471,0.138065,
17532,0.211099,4.893,0.142796,
17533,0.665229,4.3827,0.19915,
17534,1.24654,3.98414,0.0286365,
17535,1.23382,3.92099,0.0855797,
17536,1.99797,3.2079,0.0929103,
17537,1.37171,3.57497,0.349382,
17538,0.329277,4.71298,0.206074,
17539,0.546282,4.58534,0.116191,
17540,1.16372,3.98238,0.0965352,
17541,0.600034,4.48796,0.158907,
17542,1.88802,2.92434,0.430645,
17543,1.11617,3.98256,0.167001,
17544,1.37423,3.58393,0.341418,
17545,0.647001,4.35258,0.240766,
17546,1.2557,3.94027,0.0437984,
17547,1.2167,3.57708,0.451097,
17548,1.25309,3.92329,0.0650723,
17549,0.573144,4.36295,0.30295,
17550,0.57082,4.42362,0.244788,
17551,1.16617,3.91211,0.168161,
17552,1.43584,3.50598,0.305788,
17553,1.81915,3.20793,0.271416,
17554,1.16324,3.93994,0.136486,
17555,1.185,3.98343,0.0752707,
17556,1.44406,3.67736,0.178558,
17557,0.698932,4.47058,0.112512,
17558,0.917508,3.97668,0.344728,
17559,1.72755,3.21027,0.301623,
17560,1.80725,2.91699,0.515069,
17561,0.528697,4.64223,0.114525,
17562,1.00226,3.98144,0.263044,
17563,0.844604,4.32007,0.0817968,
17564,0.245857,4.66616,0.332353,
17565,0.543567,4.56014,0.137596,
17566,0.952487,4.0742,0.241832,
17567,0.708869,4.38455,0.197006,
17568,1.54504,3.51759,0.18502,
17569,1.70423,3.5148,0.0259987,
17570,1.45931,3.68574,0.0948926,
17571,1.25074,3.98483,0.0625054,
17572,0.855844,4.17393,0.208131,
17573,0.670379,4.42304,0.151473,
17574,1.44239,3.67557,0.145228,
17575,0.486854,4.65979,0.153331,
17576,1.83013,3.20306,0.206256,
17577,0.818256,3.98824,0.312328,
17578,1.14766,3.92792,0.183136,
17579,0.493295,4.35821,0.448232,
17580,1.89901,2.91827,0.419014,
17581,0.816287,4.21844,0.204448,
17582,1.92834,3.20518,0.130028,
17583,0.350641,4.82237,0.0734063,
17584,0.860185,4.30324,0.0838724,
17585,0.840684,3.99041,0.423293,
17586,2.12883,2.92108,0.198474,
17587,0.379584,4.66452,0.22431,
17588,1.57046,3.68292,0.0392244,
17589,0.234097,4.89818,0.106869,
17590,1.46632,3.5111,0.074246,
17591,1.85567,2.92552,0.465073,
17592,1.7016,2.92002,0.635825,
17593,0.979565,3.98472,0.281278,
17594,1.48872,3.50473,0.247074,
17595,2.24622,2.89068,0.163088,
17596,2.27757,2.89031,0.0730767,
17597,1.20555,3.94594,0.0874439,
17598,1.83601,3.20337,0.221648,
17599,0.154832,4.99034,0.0938617,
17600,0.3697,4.38561,0.528245,
17601,2.38895,2.52664,0.330811,
17602,1.34465,3.67693,0.219653,
17603,1.03597,3.97991,0.235135,
17604,0.235663,4.67302,0.357039,
17605,1.05517,3.91144,0.279081,
17606,0.965107,3.97823,0.297109,
17607,2.19279,2.91918,0.160275,
17608,0.552839,4.57692,0.109117,
17609,0.827264,4.38127,0.0907203,
17610,0.325153,4.73597,0.18849,
17611,1.53828,3.51483,0.186399,
17612,0.0435119,5.14043,0.113927,
17613,2.10143,2.92166,0.273823,
17614,1.07779,3.92914,0.233574,
17615,0.854949,4.2241,0.167193,
17616,0.0982101,4.9938,0.171014,
17617,2.47358,2.51577,0.250199,
17618,0.140356,4.97271,0.126284,
17619,1.22069,3.93462,0.132138,
17620,0.896299,4.23029,0.160334,
17621,0.169455,4.90243,0.167271,
17622,2.0014,2.89104,0.347976,
17623,1.00639,3.9869,0.246031,
17624,0.945892,4.22554,0.0741745,
17625,1.04507,3.98261,0.211184,
17626,1.57943,3.51828,0.149872,
17627,1.74995,3.21846,0.270302,
17628,1.73363,3.20177,0.304692,
17629,0.826744,4.35594,0.117312,
17630,0.775858,4.30836,0.175822,
17631,1.46171,3.5052,0.277721,
17632,2.16257,2.91889,0.162816,
17633,0.415315,4.66587,0.184308,
17634,0.117368,4.97206,0.149377,
17635,1.18481,3.57476,0.540418,
17636,1.44751,3.67717,0.116479,
17637,0.68821,4.32271,0.229495,
17638,1.87381,2.91428,0.459245,
17639,0.81519,4.35941,0.0707082,
17640,0.978082,4.22554,0.0499558,
17641,0.322562,4.66233,0.277322,
17642,0.839948,3.99265,0.408214,
17643,0.309441,4.90987,0.0805847,
17644,1.94691,3.21023,0.107388,
17645,1.95693,3.21079,0.078955,
17646,0.183718,4.88897,0.172542,
17647,1.67926,2.91505,0.65275,
17648,0.362544,4.66363,0.273638,
17649,0.692918,4.32151,0.230218,
17650,1.05477,3.99095,0.188983,
17651,0.744375,4.35739,0.138247,
17652,0.392053,4.76481,0.088229,
17653,1.05374,3.92068,0.264527,
17654,0.637764,4.4189,0.182695,
17655,1.88619,3.20793,0.143945,
17656,2.11812,2.92409,0.202214,
17657,1.12368,4.08803,0.0882316,
17658,0.31288,4.37799,0.548991,
17659,2.67905,2.52372,0.0358327,
17660,0.156773,4.95547,0.133743,
17661,2.45022,2.5192,0.330547,
17662,1.88902,3.20274,0.18058,
17663,1.49729,3.50839,0.294278,
17664,0.427245,4.66381,0.153514,
17665,0.5524,4.55587,0.19046,
17666,0.567087,4.37416,0.298346,
17667,1.51983,3.58152,0.143002,
17668,0.956912,4.229,0.0597758,
17669,1.82545,3.21736,0.195613,
17670,2.28512,2.89104,0.0632833,
17671,0.205009,4.91159,0.123433,
17672,0.761061,4.33471,0.186034,
17673,1.54143,3.5146,0.192404,
17674,1.28306,3.93958,0.0537908,
17675,0.593469,4.40531,0.245628,
17676,1.50192,3.51483,0.223092,
17677,0.746377,3.98366,0.134414,
17678,0.778556,4.35806,0.109945,
17679,1.13432,3.91764,0.194414,
17680,0.214566,4.91188,0.120167,
17681,0.825521,4.32834,0.0860733,
17682,0.781889,4.21729,0.241514,
17683,0.66251,4.37882,0.196621,
17684,0.743249,4.3469,0.157684,
17685,1.22871,3.92622,0.0937141,
17686,1.48998,3.50702,0.245625,
17687,0.570395,4.31938,0.192699,
17688,1.12236,3.91603,0.198513,
17689,2.15326,2.89457,0.200269,
17690,0.600041,4.56526,0.0836766,
17691,1.98678,2.92442,0.335851,
17692,1.65706,3.50555,0.0861241,
17693,0.435965,4.66414,0.140077,
17694,1.48434,3.50432,0.298861,
17695,1.48023,3.68023,0.112165,
17696,1.90682,2.9119,0.429406,
17697,1.09737,3.93055,0.234415,
17698,1.71927,3.1989,0.331049,
17699,0.475189,4.66876,0.0927066,
17700,1.51125,3.46788,0.282964,
17701,1.83136,2.91878,0.54979,
17702,1.09659,3.99021,0.213155,
17703,1.91414,2.92777,0.398199,
17704,1.34086,3.5802,0.377719,
17705,0.180967,4.66507,0.388405,
17706,1.53864,3.67903,0.0403006,
17707,1.50441,3.6797,0.102893,
17708,0.577413,4.58644,0.0764874,
17709,0.442336,4.3601,0.445134,
17710,0.527826,4.37857,0.332594,
17711,0.787823,4.30063,0.050253,
17712,1.19989,3.98583,0.0547838,
17713,1.55057,3.46395,0.225757,
17714,0.986945,3.98575,0.269321,
17715,0.225597,4.92525,0.0968817,
17716,0.46254,4.56063,0.233042,
17717,0.76661,3.98698,0.294449,
17718,0.550522,4.57078,0.178681,
17719,2.12069,2.89254,0.268465,
