eventID,ExtScatter,CryoScatter,innerLayerScatter,outerCellScatterAngle,CryoScatterAngle,outerCellEDep,CryoEDep,innerLayerEDep,numElasticSensitive,numInelasticSensitive,
173,1,0,0,2.58096e-08,0,0,0,0,1,0,
174,3,0,0,2.10734e-08,0,0,0,0,0,0,
175,6,0,0,2.98023e-08,0,0,0,0,0,0,
176,0,0,0,0,0,0,0,0,0,0,
177,0,1,0,0,0.140416,0,0,0,2,0,
178,0,0,0,0,0,0,0,0,1,1,
179,4,0,0,1.62036,0,0,0,0,1,0,
180,3,1,0,1.11625,0.683897,0,0,0,0,0,
181,4,0,0,0.495677,0,0,0,0,0,0,
182,0,0,0,0,0,0,0,0,1,0,
183,12,0,0,0.582734,0,0,0,0,2,0,
184,3,1,0,2.06298,0.136846,0,0,0,0,0,
185,2,0,0,1.48099,0,0,0,0,0,0,
186,4,0,0,0.299511,0,0,0,0,0,0,
187,0,0,0,0,0,0,0,0,1,0,
188,1,0,0,2.43181,0,0,0,0,1,0,
189,2,0,0,0.124685,0,0,0,0,0,0,
190,7,4,0,1.37812,2.08297,0,0,0,0,1,
191,2,0,0,2.10734e-08,0,0,0,0,0,0,
192,2,0,0,1.29136,0,0,0,0,0,0,
193,4,0,0,0.938078,0,0,0,0,0,0,
194,2,0,0,nan,0,0,0,0,0,0,
195,1,0,0,2.29021,0,0,0,0,0,0,
196,1,1,0,1.72542,1.49012e-08,0,0,0,0,0,
197,1,0,0,0.194253,0,0,0,0,0,0,
198,4,0,0,1.25538,0,0,0,0,0,0,
199,2,0,0,nan,0,0,0,0,1,0,
200,2,0,0,1.32436,0,0,0,0,2,0,
201,1,0,0,0.957479,0,0,0,0,0,0,
202,2,0,0,0.177993,0,0,0,0,0,0,
203,2,0,0,0.264106,0,0,0,0,0,0,
204,2,0,0,0.130539,0,0,0,0,0,0,
205,1,0,0,0,0,0,0,0,0,0,
206,5,0,0,2.31031,0,0,0,0,0,0,
207,5,1,0,0.495916,nan,0,0,0,0,0,
208,3,0,0,0.537648,0,0,0,0,2,0,
209,2,0,0,1.32895,0,0,0,0,0,0,
210,1,0,0,0,0,0,0,0,0,0,
211,0,1,0,0,0,0,0,0,0,0,
212,5,0,0,1.84026,0,0,0,0,0,0,
213,0,0,0,0,0,0,0,0,4,0,
214,0,0,0,0,0,0,0,0,0,0,
215,5,0,0,1.16548,0,0,0,0,2,0,
216,3,0,0,0.545819,0,0,0,0,0,0,
217,1,1,0,2.21192,0.149259,0,0,0,0,0,
218,1,0,0,2.22265,0,0,0,0,0,0,
219,7,0,0,0.672899,0,0,0,0,1,0,
220,2,0,0,2.60717,0,0,0,0,0,0,
221,6,1,1,0.400339,0.91197,0,0,0,3,0,
222,6,1,0,nan,0.418092,0,0,0,0,0,
223,1,0,0,0,0,0,0,0,0,0,
224,2,0,0,1.49012e-08,0,0,0,0,0,0,
225,2,0,0,0.691652,0,0,0,0,0,0,
226,2,0,0,1.77532,0,0,0,0,0,0,
227,7,0,1,0.840011,0,0,0,0,0,0,
228,1,0,0,2.21764,0,0,0,0,0,0,
229,0,1,0,0,1.08957,0,0,0,0,0,
230,3,0,0,0.299064,0,0,0,0,1,0,
231,0,0,0,0,0,0,0,0,1,0,
232,3,1,0,0.36753,2.3529,0,0,0,0,0,
233,3,0,0,1.26335,0,0,0,0,0,0,
234,1,0,0,1.30353,0,0,0,0,1,1,
235,2,0,0,0.62598,0,0,0,0,2,0,
236,1,0,0,2.73733,0,0,0,0,0,0,
237,1,0,0,0,0,0,0,0,0,0,
238,0,0,0,0,0,0,0,0,0,0,
239,4,2,0,0.927338,0.880796,0,0,0,1,0,
240,4,0,0,1.21325,0,0,0,0,0,0,
241,1,2,0,2.69512,2.41581,0,0,0,0,0,
242,1,0,1,0,0,0,0,0,0,0,
243,0,2,0,0,2.72902,0,0,0,0,0,
244,0,1,0,0,0.920082,0,0,0,0,0,
245,1,0,0,2.06725,0,0,0,0,0,0,
246,0,0,0,0,0,0,0,0,1,0,
247,1,0,0,0,0,0,0,0,0,0,
248,3,0,0,0.539714,0,0,0,0,1,0,
249,4,0,0,0.233551,0,0,0,0,0,0,
250,2,0,0,2.26087,0,0,0,0,0,0,
251,3,1,0,1.68033,0.759317,0,0,0,0,0,
252,2,0,1,nan,0,0,0,0,0,0,
253,2,0,0,1.49012e-08,0,0,0,0,3,0,
254,1,0,0,0.962623,0,0,0,0,0,0,
255,5,2,0,0.18559,0.202852,0,0,0,0,0,
