eventID,numReachedDown,numReachedUp,numPE,
230,538,387,925,
233,1059,851,1910,
235,1571,1242,2813,
236,1036,992,2028,
238,1169,945,2114,
241,655,464,1119,
245,1134,899,2033,
246,589,471,1060,
249,1132,899,2031,
253,648,507,1155,
259,638,501,1139,
262,984,803,1787,
263,718,588,1306,
264,1507,1309,2816,
266,1115,912,2027,
267,1081,880,1961,
269,564,454,1018,
270,1129,849,1978,
273,311,233,544,
277,697,572,1269,
278,465,384,849,
279,1805,1515,3320,
281,162,139,301,
282,52,44,96,
283,1187,985,2172,
287,399,301,700,
291,527,397,924,
295,1161,872,2033,
296,1880,1450,3330,
297,375,328,703,
301,1152,990,2142,
304,697,567,1264,
305,262,198,460,
307,1262,969,2231,
308,306,277,583,
309,1343,1089,2432,
310,894,614,1508,
311,190,152,342,
312,797,759,1556,
314,444,341,785,
319,1306,1043,2349,
321,1087,768,1855,
322,1206,931,2137,
323,44,22,66,
325,1009,804,1813,
326,1010,808,1818,
327,940,776,1716,
328,1101,943,2044,
329,1197,1010,2207,
330,960,776,1736,
332,1023,776,1799,
333,1147,903,2050,
334,1032,777,1809,
335,81,62,143,
337,859,683,1542,
338,633,500,1133,
339,25,15,40,
340,1087,820,1907,
344,960,720,1680,
345,1176,1003,2179,
348,392,328,720,
350,1148,939,2087,
351,1210,959,2169,
352,853,654,1507,
353,811,652,1463,
354,385,269,654,
357,189,154,343,
358,905,694,1599,
361,75,50,125,
362,797,610,1407,
363,227,148,375,
364,95,74,169,
365,658,508,1166,
366,1337,1100,2437,
368,217,164,381,
369,1946,1370,3316,
376,865,735,1600,
378,1344,1059,2403,
380,1136,879,2015,
381,1043,705,1748,
383,468,367,835,
384,627,488,1115,
386,1140,972,2112,
387,154,134,288,
389,954,714,1668,
394,1176,981,2157,
395,119,105,224,
396,158,151,309,
399,1044,826,1870,
400,690,540,1230,
401,1694,1156,2850,
403,254,183,437,
405,828,666,1494,
406,301,255,556,
407,132,124,256,
410,269,250,519,
411,465,355,820,
413,1563,1211,2774,
414,4,5,9,
415,1160,871,2031,
418,665,562,1227,
421,1210,957,2167,
422,1537,1220,2757,
424,1287,1019,2306,
425,1234,912,2146,
427,1512,1179,2691,
428,1194,982,2176,
429,440,351,791,
430,999,892,1891,
432,14,19,33,
433,1210,1019,2229,
436,1036,796,1832,
439,770,647,1417,
440,14,13,27,
441,1161,929,2090,
442,802,630,1432,
443,1949,1425,3374,
444,875,704,1579,
447,692,514,1206,
448,130,90,220,
452,317,263,580,
453,744,600,1344,
455,228,172,400,
457,1204,929,2133,
458,1084,847,1931,
461,1086,795,1881,
466,1186,936,2122,
473,269,237,506,
474,246,190,436,
475,566,470,1036,
476,475,367,842,
478,202,150,352,
479,147,110,257,
480,1853,1473,3326,
482,454,335,789,
483,782,647,1429,
485,1192,1074,2266,
490,329,269,598,
491,887,706,1593,
493,686,462,1148,
495,134,136,270,
496,1133,918,2051,
498,701,590,1291,
499,203,158,361,
502,1146,715,1861,
503,860,672,1532,
506,1223,918,2141,
507,1002,883,1885,
508,1231,939,2170,
510,624,509,1133,
513,978,789,1767,
514,1192,973,2165,
517,1825,1430,3255,
518,716,574,1290,
519,645,452,1097,
521,1529,1215,2744,
522,155,131,286,
523,465,386,851,
526,750,743,1493,
528,811,668,1479,
529,561,450,1011,
530,1234,924,2158,
533,825,676,1501,
535,873,664,1537,
536,1358,1064,2422,
537,1811,1324,3135,
541,806,628,1434,
543,631,456,1087,
544,733,611,1344,
547,661,426,1087,
548,494,375,869,
549,596,446,1042,
555,737,667,1404,
556,355,295,650,
561,336,234,570,
563,882,650,1532,
564,991,756,1747,
566,1171,927,2098,
567,1065,924,1989,
568,839,671,1510,
571,988,718,1706,
572,379,329,708,
575,617,469,1086,
577,860,720,1580,
578,1404,1022,2426,
579,174,136,310,
580,14,10,24,
581,1207,969,2176,
582,287,195,482,
583,766,552,1318,
584,614,447,1061,
586,1345,1006,2351,
588,790,585,1375,
590,1498,1072,2570,
591,1731,1357,3088,
593,940,707,1647,
594,864,691,1555,
596,2,1,3,
597,703,586,1289,
599,843,671,1514,
602,95,77,172,
603,109,98,207,
604,517,414,931,
605,566,334,900,
608,118,100,218,
609,744,629,1373,
610,841,612,1453,
611,1963,1417,3380,
612,1156,938,2094,
616,255,172,427,
