process,distance,
compt,12.083,
compt,12.7012,
compt,29.4657,
compt,13.3245,
compt,12.9604,
compt,35.9893,
compt,18.7063,
compt,14.3436,
compt,11.0293,
compt,18.2806,
compt,65.9055,
compt,48.129,
compt,16.899,
compt,10.7155,
compt,29.3685,
compt,10.8619,
compt,16.5051,
compt,17.1383,
compt,15.5634,
compt,21.0444,
compt,29.9183,
compt,10.1956,
compt,11.3814,
compt,10.8667,
compt,18.511,
compt,31.1977,
compt,20.9499,
compt,10.1907,
compt,23.1539,
compt,19.3517,
compt,29.2831,
compt,53.8178,
compt,12.1095,
compt,41.7372,
compt,40.1765,
compt,11.9667,
compt,20.1003,
compt,17.8955,
compt,12.3163,
compt,17.2371,
compt,18.7894,
compt,17.9176,
compt,17.219,
compt,19.8492,
compt,21.6897,
compt,14.6733,
compt,10.8482,
compt,47.8455,
compt,29.8503,
compt,14.4486,
compt,29.5666,
compt,31.3037,
compt,19.1917,
compt,47.3977,
compt,20.6497,
compt,17.8998,
compt,23.0583,
compt,13.9358,
compt,21.3365,
compt,26.277,
compt,20.9099,
compt,31.4963,
compt,12.2758,
compt,43.1195,
compt,24.7106,
compt,29.0664,
compt,19.875,
compt,12.2816,
compt,45.1817,
compt,12.0474,
compt,31.2858,
compt,16.9171,
compt,45.6867,
compt,11.1807,
compt,12.4604,
compt,29.4372,
compt,20.4276,
compt,12.6402,
compt,14.3953,
compt,11.8029,
compt,14.1801,
compt,21.3326,
compt,38.7969,
compt,13.392,
compt,25.9037,
compt,16.554,
compt,15.6949,
compt,42.7644,
compt,48.42,
compt,29.4824,
compt,24.7925,
compt,20.6356,
compt,22.9682,
compt,11.6492,
compt,18.0793,
compt,28.4902,
compt,31.0972,
compt,13.0292,
compt,25.5233,
compt,15.518,
compt,20.0028,
compt,52.5565,
compt,20.17,
compt,13.5508,
compt,25.573,
compt,18.3406,
compt,29.4441,
compt,43.2894,
compt,38.0749,
compt,25.5941,
compt,26.5129,
compt,48.4653,
compt,10.3144,
compt,26.7863,
compt,14.4087,
compt,11.628,
compt,16.9411,
compt,29.5719,
compt,13.2598,
compt,12.2391,
compt,12.3692,
compt,40.0285,
