eventID,neutronEscapeEnergy,nPrime,
922,2.32822,0,
923,0.248771,1,
924,2.34943,0,
925,0.767921,1,
926,0.750435,1,
927,1.88707,0,
928,1.10837,0,
929,2.23426,0,
930,2.33262,0,
931,1.8977,0,
932,0.691593,1,
933,0.898343,1,
934,0.712047,1,
935,2.21863,0,
936,0.679641,1,
937,2.26611,0,
938,1.85785,0,
939,2.35182,0,
940,0.590125,1,
941,0.723883,1,
942,0.825768,1,
943,2.25156,0,
944,0.65499,1,
945,0.828546,1,
946,1.43735,0,
947,1.28309,0,
948,1.67529,0,
949,2.23319,0,
950,1.30717,0,
951,2.33655,0,
952,0.812016,1,
953,0.523269,1,
954,2.31145,0,
955,0.464776,1,
956,2.21179,0,
957,1.61624,0,
958,1.18746,0,
959,0.672342,1,
960,2.27416,0,
961,0.940259,1,
962,0.599562,1,
963,2.30245,0,
964,0.878981,1,
965,0.246231,1,
966,2.11624,0,
967,0.668513,1,
968,2.13322,0,
969,0.209821,1,
970,0.71321,1,
971,0.891637,1,
972,0.501593,1,
973,0.335316,1,
974,0.766064,1,
975,0.912981,1,
976,0.846308,1,
977,0.919414,1,
978,0.785928,1,
979,0.210829,1,
980,2.39521,0,
981,1.57648,0,
982,2.2547,0,
983,2.25428,0,
984,0.759328,1,
985,0.41406,1,
986,0.549646,1,
987,2.27743,0,
988,1.83204,0,
989,0.926931,1,
990,0.898353,1,
991,0.782121,1,
992,0.910724,1,
993,0.758234,1,
994,0.892253,1,
995,2.33025,0,
996,0.260479,1,
997,0.42027,1,
998,0.0700539,1,
999,2.01978,0,
1000,0.855778,1,
1001,0.592015,1,
1002,2.35019,0,
1003,0.894898,1,
1004,2.38544,0,
1005,0.842024,1,
1006,2.21819,0,
1007,2.273,0,
1008,2.20891,0,
1009,2.35248,0,
1010,0.246229,1,
1011,0.350134,1,
1012,0.215491,1,
1013,1.82217,0,
1014,0.750646,1,
1015,0.581355,1,
1016,0.855205,1,
1017,2.09825,0,
1018,1.21153,0,
1019,2.27721,0,
1020,0.90164,1,
1021,0.803109,1,
1022,0.534603,1,
1023,0.616263,1,
1024,1.79714,0,
1025,2.00518,0,
1026,0.60118,1,
1027,0.856119,1,
1028,0.696567,1,
1029,0.875151,1,
1030,0.940199,1,
1031,0.573657,1,
1032,2.35443,0,
1033,0.522672,1,
1034,1.67666,0,
1035,2.26054,0,
1036,1.74675,0,
1037,0.844445,1,
1038,2.33731,0,
1039,1.94514,0,
1040,0.835936,1,
1041,0.456507,1,
1042,0.620995,1,
1043,1.35566,0,
1044,0.562368,1,
1045,2.25444,0,
1046,2.30192,0,
1047,2.20782,0,
1048,2.20391,0,
1049,0.485455,1,
1050,2.31106,0,
1051,0.621269,1,
1052,0.565802,1,
1053,0.785082,1,
1054,0.613578,1,
1055,2.26203,0,
1056,1.83698,0,
1057,2.30111,0,
1058,2.31741,0,
1059,2.32473,0,
1060,0.713783,1,
1061,2.10758,0,
1062,2.30899,0,
1063,2.27727,0,
1064,2.30846,0,
1065,1.12351,0,
1066,2.28293,0,
1067,0.90457,1,
1068,2.43902,0,
1069,2.28639,0,
1070,0.808112,1,
1071,0.459818,1,
1072,0.899901,1,
1073,2.27165,0,
1074,0.778916,1,
1075,0.778389,1,
1076,0.893563,1,
1077,2.29067,0,
1078,2.26813,0,
1079,0.452317,1,
1080,2.21702,0,
1081,2.39623,0,
1082,2.23136,0,
1083,0.776815,1,
1084,2.20244,0,
1085,2.2915,0,
1086,2.37493,0,
1087,0.563975,1,
1088,0.72891,1,
1089,0.585977,1,
1090,0.449393,1,
1091,0.7632,1,
1092,0.688398,1,
1093,0.834939,1,
1094,0.875356,1,
1095,0.693015,1,
1096,1.73926,0,
1097,0.47884,1,
1098,1.94078,0,
1099,0.883905,1,
1100,0.949154,1,
1101,0.736064,1,
1102,0.887814,1,
1103,2.22962,0,
1104,1.23294,0,
1105,0.898145,1,
1106,1.74268,0,
1107,2.26532,0,
1108,0.759929,1,
1109,0.564885,1,
1110,2.22539,0,
1111,1.00995,1,
1112,2.43993,0,
1113,0.721326,1,
1114,1.53899,0,
1115,2.26845,0,
1116,2.32637,0,
1117,1.40966,0,
1118,0.54059,1,
1119,0.842679,1,
1120,1.11729,0,
1121,2.28501,0,
1122,0.680146,1,
1123,2.15801,0,
1124,0.491834,1,
1125,0,1,
1126,0.810403,1,
1127,0.8976,1,
1128,0.974376,1,
1129,0.82829,1,
1130,0.843373,1,
1131,0.806162,1,
1132,2.32092,0,
1133,0.258672,1,
1134,0.929074,1,
1135,2.28619,0,
1136,1.39151,0,
1137,0.684285,1,
1138,0.619989,1,
1139,1.96489,0,
1140,2.26808,0,
1141,0.676655,1,
1142,0.770753,1,
