eventID,neutronEscapeEnergy,
190,0.74321,
191,1.95892,
192,0.616308,
193,2.09935,
194,0.799861,
195,0.682648,
196,2.31823,
197,0.442851,
198,2.32457,
199,2.25558,
200,2.06857,
201,0.347782,
202,1.75709,
203,0.49658,
204,1.57939,
205,0.851303,
206,2.1388,
207,0.0129341,
208,0.889057,
209,0.250449,
210,0.322748,
211,0.850051,
212,0.492672,
213,0.513343,
214,0.832979,
215,2.26926,
216,2.01255,
217,1.22497,
218,0.252464,
219,0.812935,
220,0.517346,
221,0.752967,
222,0.0693875,
223,2.32384,
224,0.466993,
225,0.757849,
226,0.159153,
227,1.80762,
228,0.55676,
229,0.686092,
230,2.32093,
231,0.751309,
232,2.26154,
233,0.765222,
234,0.642277,
235,0.885784,
236,0.763288,
237,0.797129,
238,2.28755,
239,2.29346,
240,0.768201,
241,0.75062,
242,2.13194,
243,2.28912,
244,0.849385,
245,2.00928,
246,0.94447,
247,0.730324,
248,0.523533,
249,2.08351,
250,2.26341,
251,2.32454,
252,0.559925,
253,2.29435,
254,0.793976,
255,0.618099,
256,2.19525,
257,0.640925,
258,0.704575,
259,0.207511,
260,0.633064,
261,2.32348,
262,0.831543,
263,0.808506,
264,2.21765,
265,0.512432,
266,0.599862,
267,2.28941,
268,0.563889,
269,0.72024,
270,2.03714,
271,2.26307,
272,0.837518,
273,2.3322,
274,1.7762,
275,1.95752,
276,0.65766,
277,2.15376,
278,0.947326,
279,2.35873,
280,2.29719,
281,0.15481,
282,0.548598,
283,2.49249,
284,0.906263,
285,2.32492,
286,2.27552,
287,0.956682,
288,2.29084,
289,0.89833,
290,2.3258,
291,0.816109,
292,0.939238,
293,0.895117,
294,0.782022,
295,0.699,
296,0.245797,
297,0.770677,
298,0.905581,
299,0.589527,
300,0.760511,
301,0.829637,
302,0.109932,
303,1.79864,
304,1.84972,
305,2.26363,
306,0.806214,
307,0.943349,
308,0.43712,
309,1.56976,
310,0.67525,
311,0.130229,
312,0.249004,
313,0.39454,
314,0.671914,
315,0.848106,
316,2.32013,
317,0.579678,
318,2.42368,
319,0.791443,
320,2.18579,
321,0.548867,
322,0.840307,
323,2.11834,
324,0.378837,
325,0.249656,
326,0.930431,
327,1.75098,
328,0.941614,
329,2.30412,
330,0.584583,
331,0.737968,
332,2.15802,
333,0.459612,
334,0.782276,
335,0.604348,
336,1.82756,
337,0.248068,
338,0.847412,
339,0.669878,
340,1.00749,
341,0.682454,
342,0.712274,
343,0.670909,
344,0.338681,
345,1.98682,
346,0.556178,
347,0.416066,
348,2.22826,
349,2.31131,
350,1.99209,
351,2.06555,
352,0.680868,
353,0.692432,
354,0.0692867,
355,2.34003,
356,0.835346,
357,2.02097,
358,2.34083,
359,1.99352,
360,1.52862,
361,2.16303,
362,1.88048,
363,0.768036,
364,0.903416,
365,0.639902,
366,2.3421,
367,0.894096,
368,2.26281,
369,2.31458,
370,0.562897,
371,2.35791,
372,0.305357,
373,2.3401,
374,0.897484,
375,1.25408,
376,1.79961,
377,0.872863,
378,0.787486,
379,0.563311,
380,0.760321,
381,0.518237,
382,0.779328,
383,0.980963,
384,2.45268,
385,2.30798,
386,2.24585,
387,1.12567,
388,0.780322,
389,0.965308,
390,2.32047,
391,2.28393,
392,1.81417,
393,0.903201,
394,0.898036,
395,0.688969,
396,1.66057,
397,0.77076,
398,2.2492,
399,2.32849,
400,1.87322,
401,0.68781,
402,0.921216,
403,0.842063,
404,1.65498,
405,2.26673,
406,0.91005,
407,2.18345,
408,0.813021,
409,0.850835,
410,2.34697,
411,0.927967,
412,2.21791,
413,0.794745,
414,0.537513,
415,2.19736,
416,2.19855,
417,0.587769,
418,1.75084,
419,0.777316,
420,2.27233,
421,1.28069,
422,0.758914,
423,2.3258,
424,0.196315,
425,0.714621,
426,0.8328,
427,1.70138,
428,0.869002,
429,0.967131,
430,2.26453,
431,0.855847,
432,2.20135,
433,0.86892,
434,0.81295,
435,0.16254,
436,2.34709,
437,2.15467,
438,0.837076,
439,0.842338,
440,2.2024,
441,0.676342,
442,0.763977,
443,0.827825,
444,0.757978,
445,0.8388,
446,2.29878,
447,0.806069,
448,0.162664,
449,0.74416,
450,2.08899,
451,2.18232,
452,1.22131,
453,0.974473,
454,0.241509,
455,0.841376,
456,0.948554,
457,0.748312,
458,1.50215,
459,2.28046,
460,0.535792,
461,0.837794,
462,0.461487,
463,2.13362,
464,2.26466,
465,2.12502,
466,2.46424,
467,1.2923,
468,0.730272,
469,0.799535,
470,2.25958,
471,2.27021,
472,0.798797,
473,2.30027,
474,0.892838,
475,0.979643,
476,0.775405,
477,1.39096,
478,1.98144,
479,0.63691,
480,0.522887,
481,0.30989,
482,0.829373,
483,0.24827,
484,2.3245,
485,2.24126,
486,2.23229,
487,0.794477,
488,2.18014,
489,2.07281,
490,0.310501,
491,0.792176,
492,2.17022,
493,0.317125,
494,2.21565,
495,0.921988,
496,0.876307,
497,2.32501,
498,1.83748,
499,2.27125,
500,2.32722,
501,0.923502,
502,2.08087,
503,0.245516,
504,0.757294,
505,0.685566,
506,0.796185,
507,2.27887,
508,0.275159,
509,0.65004,
510,1.29491,
511,0.612723,
512,2.26169,
513,0.20782,
514,0.801779,
515,0.445628,
516,2.13859,
517,0.29063,
518,0.770035,
519,1.94984,
520,0.805875,
521,0.810323,
522,0.543788,
523,1.21563,
524,2.35839,
525,2.03289,
526,0.696524,
527,2.17384,
528,0.355226,
529,1.0025,
530,2.07934,
531,2.46776,
532,0.697509,
533,0.952752,
534,1.94652,
535,2.0153,
536,0.399584,
537,2.18724,
538,2.18484,
539,0.742309,
540,2.07608,
541,0.767368,
542,2.29386,
543,1.21623,
544,0.835551,
545,0.935828,
546,2.26646,
547,1.28594,
548,0.734589,
549,0.771182,
550,0.907195,
551,1.98936,
552,2.40862,
553,0.69096,
554,2.30501,
555,0.297445,
556,0.770549,
557,2.28081,
558,0.723694,
559,0.605349,
560,0.672579,
561,0.643752,
562,0.273912,
563,0.887339,
564,0.669336,
565,2.27676,
566,0.834616,
567,0.817915,
568,1.78801,
569,0.635298,
570,1.38746,
571,0.894382,
572,2.38136,
573,1.8536,
574,0.696637,
575,2.26702,
576,0.315424,
577,0.635214,
578,2.34211,
579,0.758413,
580,0.183521,
581,2.31728,
582,0.965803,
583,0.408429,
584,1.98134,
585,1.95999,
586,1.44379,
587,2.06664,
588,2.15015,
589,0.651606,
590,0.91994,
591,0.489264,
592,2.0645,
593,2.14304,
594,2.15058,
595,2.32167,
596,2.26623,
597,0.80779,
598,0.929522,
599,2.45439,
600,1.40902,
601,2.40894,
602,0.850944,
603,0.810627,
604,2.29875,
605,0.792376,
606,2.2433,
607,2.14221,
608,0.788384,
609,2.33098,
610,0.812618,
611,2.28006,
612,2.43823,
613,0.868461,
614,1.0158,
615,0.628844,
616,1.2602,
617,0.748398,
618,0.896393,
619,0.897845,
620,2.30187,
621,0.895,
622,0.833489,
623,0.31284,
624,2.46707,
625,2.30099,
626,1.27166,
627,0.652026,
628,0.00347414,
629,2.18709,
630,2.35257,
631,0.789039,
632,1.3445,
633,0.400823,
634,2.2503,
635,0.578668,
636,2.3854,
637,0.820676,
638,0.852605,
639,2.27308,
640,0.926966,
641,0.887459,
642,2.27791,
643,0.908469,
644,1.9744,
645,0.66746,
646,0.314775,
647,0.941626,
648,2.27209,
649,2.30231,
650,2.08744,
651,2.34396,
652,0.562876,
653,0.713576,
654,2.39414,
655,0.942342,
656,0.971963,
657,0.944358,
658,0.556575,
659,0.249502,
660,1.46593,
661,0.867751,
662,0.582281,
663,2.34351,
664,0.654627,
665,0.381439,
666,2.27174,
667,0.621357,
668,0.930115,
669,0.568353,
670,2.26156,
671,0.897922,
672,0.22704,
673,0.709728,
674,0.649009,
675,0.269368,
676,0.569032,
677,2.31328,
678,1.66444,
679,0.836501,
680,0.425232,
681,0.395729,
682,1.84672,
683,0.892095,
684,0.939299,
685,1.67638,
686,0.556717,
687,0.34669,
688,0.789544,
689,0.812839,
690,0.753374,
691,0.961847,
692,1.65996,
693,1.92414,
694,0.746715,
695,2.28576,
696,2.19017,
697,1.59692,
698,1.77622,
699,0.756649,
700,0.871557,
701,2.27569,
702,0.622523,
703,0.930636,
704,0.760194,
705,2.30429,
706,2.39362,
707,0.889967,
708,0.547431,
709,2.34312,
710,0.736475,
711,2.32001,
712,2.28633,
713,2.17753,
714,0.50303,
715,2.23807,
716,0.449422,
717,2.11946,
718,0.949861,
719,0.939665,
720,1.2921,
721,0.648452,
722,1.66738,
723,0.767942,
724,2.27397,
725,0.671944,
726,0.722098,
727,0.485836,
728,0.48717,
729,0.582073,
730,1.73299,
731,0.250884,
732,0.354402,
733,0.31299,
734,0.724204,
735,2.27599,
736,0.847631,
737,0.899792,
738,2.24092,
739,1.9457,
740,0.516883,
741,1.11708,
742,2.27488,
743,1.20966,
744,0.43849,
745,2.26457,
746,0.745561,
747,2.11721,
748,0.912832,
749,0.90214,
750,0.824908,
751,0.89515,
752,0.33673,
753,0.295832,
754,0.649917,
756,0.69641,
757,2.2827,
758,0.931181,
759,0.369368,
760,1.49495,
761,1.98363,
762,2.18635,
763,0.799763,
764,0.960165,
765,0.685711,
766,0.959787,
767,0.323378,
768,0.808559,
769,0.162569,
770,0.711636,
771,2.23372,
772,0.95652,
773,0.248655,
774,2.27186,
775,1.90693,
776,2.31003,
777,1.58842,
778,2.2976,
779,0.833606,
780,2.26014,
781,2.38524,
782,2.26248,
783,0.235072,
784,2.26099,
785,2.23932,
786,0.888856,
787,0.483864,
788,2.19876,
